"Partition","Total_Cells","Normal_like","Tumor_like","Other_CNV","Normal_Fraction","Tumor_Fraction","Mixed_Cells","Mixed_Fraction","Mixed_Score"
"2",6735,607,5201,927,0.0901262063845583,0.772234595397179,5808,0.180252412769117,1046.90601336303
"1",14271,13,13813,445,0.000910938266414407,0.967906944152477,13826,0.00182187653282881,25.1892649428912
"5",69,12,23,34,0.173913043478261,0.333333333333333,35,0.347826086956522,12.1739130434783
"3",999,1,951,47,0.001001001001001,0.951951951951952,952,0.002002002002002,1.90590590590591
"4",71,0,68,3,0,0.957746478873239,68,0,0
