"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL1A1","CD44",0.0367400788024768,0,"COL1A1_CD44","COL1A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL1A2","CD44",0.0366985278336817,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"iPS_cells","Tumor_Epithelial","COL2A1","CD44",0.00212605477304178,0,"COL2A1_CD44","COL2A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL4A1","CD44",0.024817038390209,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL4A1","CD44",0.00336645751229324,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL4A2","CD44",0.0193602005424122,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL4A2","CD44",0.00356780501991307,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL6A1","CD44",0.00175800878976929,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL6A1","CD44",0.0203233006505568,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL6A2","CD44",0.0035591541146074,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL6A2","CD44",0.0192213565137693,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"iPS_cells","Tumor_Epithelial","COL6A2","CD44",0.00212251595279071,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL6A3","CD44",0.0174410094238489,0,"COL6A3_CD44","COL6A3 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","LAMA4","CD44",0.00269011080941134,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","LAMA4","CD44",0.00289581334501026,0,"LAMA4_CD44","LAMA4 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","LAMA5","CD44",0.00146141071962753,0,"LAMA5_CD44","LAMA5 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","LAMB1","CD44",0.000455909537230601,0,"LAMB1_CD44","LAMB1 - CD44","LAMININ","ECM-Receptor","KEGG: hsa04512"
