"source","target","ligand","receptor","prob","pval","interaction_name","interaction_name_2","pathway_name","annotation","evidence"
"DC-Monocyt","Tumor_Epithelial","LGALS9","CD44",0.00376068671935858,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Macrophage","Tumor_Epithelial","LGALS9","CD44",0.00357600046793423,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Pre-B_cell_CD34-","Tumor_Epithelial","LGALS9","CD44",0.00129890043548146,0,"LGALS9_CD44","LGALS9 - CD44","GALECTIN","Secreted Signaling","PMID: 25065622"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","FN1","CD44",0.0118509974949396,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"Macrophage","Tumor_Epithelial","FN1","CD44",0.00715320357247785,0,"FN1_CD44","FN1 - CD44","FN1","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL1A1","CD44",0.0156830588563419,0,"COL1A1_CD44","COL1A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL1A2","CD44",0.0164002344855973,0,"COL1A2_CD44","COL1A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Endothelial_cells","Tumor_Epithelial","COL4A1","CD44",0.000992372921178871,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL4A1","CD44",0.00163303960946776,0,"COL4A1_CD44","COL4A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL4A2","CD44",0.00168808117848429,0,"COL4A2_CD44","COL4A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL6A1","CD44",0.011608602671527,0,"COL6A1_CD44","COL6A1 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
"Fibroblasts-Tissue_stem_cells","Tumor_Epithelial","COL6A2","CD44",0.0120980012607042,0,"COL6A2_CD44","COL6A2 - CD44","COLLAGEN","ECM-Receptor","KEGG: hsa04512"
