"Statistic","Value"
"Min",0
"1st_Quartile",5.74120256603535e-51
"Median",6.51066697645973e-07
"Mean",0.153431806225758
"3rd_Quartile",0.236148983336305
"95th_Percentile",0.672248990146745
"99th_Percentile",0.861701516754514
"Max",0.999465359427146
