"Statistic","Value"
"Min",-0.00573777803959058
"1st_Quartile",0.00143786244662992
"Median",0.0165841834021596
"Mean",0.0470475128083596
"3rd_Quartile",0.051526256130326
"95th_Percentile",0.216916271752707
"99th_Percentile",0.415276099812719
"Max",0.75986870567383
