"status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value","gene_id"
"OK",0,39.4289703482725,0.137854361640031,"DHCR7",0,"DHCR7"
"OK",0,39.4115436035282,0.137748202766149,"SNHG9",0,"SNHG9"
"OK",0,39.3860848059188,0.137704606284632,"DCPS",0,"DCPS"
"OK",0,39.3818412274936,0.137698410034896,"NUDCD2",0,"NUDCD2"
"OK",0,39.4067514395292,0.137694989810282,"IDS",0,"IDS"
"OK",0,39.3726008219246,0.137656816897171,"TSPAN15",0,"TSPAN15"
"OK",0,39.3692169080639,0.137637651588074,"H2AFJ",0,"H2AFJ"
"OK",0,39.3685215763583,0.137628647807994,"SNHG25",0,"SNHG25"
"OK",0,39.3363993471417,0.137541237265729,"ARPC1A",0,"ARPC1A"
"OK",0,39.3317971785264,0.137517044455493,"SNX7",0,"SNX7"
"OK",0,39.3236906179573,0.13748927734814,"MAPK13",0,"MAPK13"
"OK",0,39.3135949430428,0.137460376595036,"CDKN1A",0,"CDKN1A"
"OK",0,39.282203731176,0.13734660399981,"GART",0,"GART"
"OK",0,39.2771124803844,0.137326979916068,"PYM1",0,"PYM1"
"OK",0,39.2760004888145,0.13732674338775,"MORF4L1",0,"MORF4L1"
"OK",0,39.2724383844936,0.137316524678879,"PDCD2",0,"PDCD2"
"OK",0,39.7244911097011,0.137305439721856,"GNLY",0,"GNLY"
"OK",0,39.2444922212452,0.137213101670013,"ELOB",0,"ELOB"
"OK",0,39.2341811102007,0.137087980370351,"SORBS2",0,"SORBS2"
"OK",0,39.195415686954,0.137046463393453,"EMC3",0,"EMC3"
"OK",0,39.0944771806268,0.136694030626715,"METTL9",0,"METTL9"
"OK",0,39.0659218872541,0.136594339950889,"SMIM26",0,"SMIM26"
"OK",0,39.0644467330414,0.136587943013161,"SKIL",0,"SKIL"
"OK",0,39.0580570782154,0.136558946560594,"CSTF3",0,"CSTF3"
"OK",0,39.0477291771928,0.136530736755923,"KPNB1",0,"KPNB1"
"OK",0,39.225277034184,0.136488506765806,"ENPP1",0,"ENPP1"
"OK",0,39.0036892995116,0.136365904928097,"GNPNAT1",0,"GNPNAT1"
"OK",0,38.9900120794222,0.136328760534033,"RBMX",0,"RBMX"
"OK",0,38.9862293436161,0.136310740077914,"ACAT1",0,"ACAT1"
"OK",0,38.9632148830384,0.136233980861013,"CMPK1",0,"CMPK1"
"OK",0,38.9395149854933,0.136152278791956,"RNF7",0,"RNF7"
"OK",0,38.9242074409922,0.136097180582181,"CD46",0,"CD46"
"OK",0,39.4225837323299,0.136083344421782,"CXCL11",0,"CXCL11"
"OK",0,38.8779355666918,0.135936604352257,"WASF2",0,"WASF2"
"OK",0,38.8976473289178,0.135893227411219,"DPYSL2",0,"DPYSL2"
"OK",0,39.1082530656725,0.135858503522326,"CCL4",0,"CCL4"
"OK",0,38.8547672251552,0.135853760568544,"SRRM1",0,"SRRM1"
"OK",0,38.838521390376,0.135788706855811,"ALDH16A1",0,"ALDH16A1"
"OK",0,38.8293352776888,0.135754809906883,"GON7",0,"GON7"
"OK",0,38.8216911864447,0.135739424166427,"POLR2J",0,"POLR2J"
"OK",0,38.9066607905725,0.13572106562535,"FAM107B",0,"FAM107B"
"OK",0,38.7931338477977,0.135634454479079,"SRPRA",0,"SRPRA"
"OK",0,38.7911599261907,0.135631707824396,"GLO1",0,"GLO1"
"OK",0,38.7888267614729,0.135623532442177,"ARID4B",0,"ARID4B"
"OK",0,38.7769405787106,0.135579903771451,"FXYD5",0,"FXYD5"
"OK",0,38.771424901783,0.135539544688185,"ANKRD12",0,"ANKRD12"
"OK",0,38.7402086173454,0.135445144686322,"EIF4G2",0,"EIF4G2"
"OK",0,38.736790469964,0.135430734355901,"ACTR1B",0,"ACTR1B"
"OK",0,39.5739278383743,0.135417319611264,"ITIH5",0,"ITIH5"
"OK",0,38.6300644069539,0.135067382481174,"MRPS23",0,"MRPS23"
"OK",0,38.6275855367459,0.135032562013787,"SERINC2",0,"SERINC2"
"OK",0,38.5940137130154,0.13490041737955,"CD81",0,"CD81"
"OK",0,38.5680109479875,0.134850931190817,"PSMB7",0,"PSMB7"
"OK",0,38.5593786668653,0.134820142579484,"NDUFV1",0,"NDUFV1"
"OK",0,38.5355682380547,0.134736540550749,"RBMS1",0,"RBMS1"
"OK",0,38.5114537796034,0.134651391662582,"PHF20L1",0,"PHF20L1"
"OK",0,39.2956526633241,0.134633580507921,"LINC01235",0,"LINC01235"
"OK",0,38.5052298531702,0.134629977122914,"ADSS",0,"ADSS"
"OK",0,38.5091216011132,0.134567572652036,"ANXA3",0,"ANXA3"
"OK",1.48219693752374e-323,38.4395100207047,0.13439909451514,"TDG",1.58101006669199e-322,"TDG"
"OK",1.97626258336499e-323,38.4291429579834,0.134349310837779,"RCAN1",2.07507571253324e-322,"RCAN1"
"OK",7.4109846876187e-323,38.3964433012009,0.134245721188091,"THYN1",7.75683063970757e-322,"THYN1"
"OK",5.43472210425371e-323,38.4050828962353,0.13424109591925,"ATP5F1E",5.68175492717434e-322,"ATP5F1E"
"OK",2.96439387504748e-323,38.4212752204053,0.134239243191508,"UNC5B",3.11261356879985e-322,"UNC5B"
"OK",1.23516411460312e-322,38.3840824779358,0.134205331154512,"ARMCX3",1.29445199210407e-321,"ARMCX3"
"OK",9.07104525764529e-321,38.2716658606489,0.133811421096677,"TIMM9",9.48359007192273e-320,"TIMM9"
"OK",6.35862486197684e-321,38.2809529335085,0.133798174374992,"HIST1H1C",6.65407611818991e-320,"HIST1H1C"
"OK",1.16846525241455e-320,38.2650614798957,0.133788894979303,"DRAM2",1.22103383713206e-319,"DRAM2"
"OK",1.83940639946696e-320,38.2532074026048,0.133748694122478,"S100A14",1.91934622096407e-319,"S100A14"
"OK",2.17685323557653e-320,38.2488065341856,0.133734072302345,"ACTR3",2.27037986233428e-319,"ACTR3"
"OK",1.37202029850114e-320,38.260861566592,0.133684741294569,"C1orf21",1.43234571385836e-319,"C1orf21"
"OK",1.76327088344282e-319,38.1941138900487,0.133541053103379,"ZNF22",1.83546869626961e-318,"ZNF22"
"OK",6.44903887516579e-320,38.2204210634178,0.133505754918307,"SEC24D",6.71953981626387e-319,"SEC24D"
"OK",7.85070311241741e-320,38.2152796583825,0.13344519902795,"SPHK1",8.17609474676845e-319,"SPHK1"
"OK",0,38.8366028671796,0.13340682118896,"FAM198B-AS1",0,"FAM198B-AS1"
"OK",4.26946333788067e-318,38.1106402881442,0.133248424713626,"PRKCSH",4.43785968447791e-317,"PRKCSH"
"OK",3.44363755151349e-320,38.2368228275472,0.133244277150293,"EPHA2",3.58983157611791e-319,"EPHA2"
"OK",1.18773381260236e-320,38.2646357345233,0.133239703451362,"FAM72D",1.24054943014279e-319,"FAM72D"
"OK",5.71135934067314e-318,38.103009931713,0.133222696639464,"NDUFA13",5.9337728724615e-317,"NDUFA13"
"OK",9.73734218762679e-319,38.1493785052948,0.133147001127901,"HIST1H1E",1.01311470919575e-317,"HIST1H1E"
"OK",1.13939917284345e-316,38.0244271633132,0.132944239108046,"HPF1",1.18149789388418e-315,"HPF1"
"OK",1.27458669942921e-316,38.021480430915,0.132926586341633,"AGPAT2",1.32104645393462e-315,"AGPAT2"
"OK",2.27764262732815e-321,38.3077491750505,0.132920706649729,"SCGB1D2",2.3848548724757e-320,"SCGB1D2"
"OK",2.9306916316755e-316,37.9995906735319,0.132850658627363,"NR4A2",3.03460690759916e-315,"NR4A2"
"OK",4.18961788292192e-317,38.0507113505607,0.132780145830674,"DDX60",4.34650230234479e-316,"DDX60"
"OK",9.45596666403748e-316,37.9687726534342,0.132746313257002,"TNFRSF12A",9.78656320091696e-315,"TNFRSF12A"
"OK",7.99416495400033e-318,38.0941900886402,0.132722944406289,"TBX22",8.30148514922344e-317,"TBX22"
"OK",2.128523091815e-315,37.9474121082444,0.132669880399185,"PTGR1",2.20188530472206e-314,"PTGR1"
"OK",3.05672091041712e-317,38.0589901798547,0.132619600010236,"ARHGEF39",3.17270598279849e-316,"ARHGEF39"
"OK",2.18605358324842e-314,37.8860239401939,0.132425690221398,"PRELP",2.25815573296037e-313,"PRELP"
"OK",3.89922380706764e-314,37.8707572640125,0.132392814346921,"AK4",4.02398407217032e-313,"AK4"
"OK",2.05216586630262e-314,37.8876909617162,0.132382775553945,"CLIC3",2.12188059190193e-313,"CLIC3"
"OK",2.11443555892736e-314,37.8869025347837,0.132376578059569,"VAMP5",2.18522010655908e-313,"VAMP5"
"OK",1.12859951145489e-313,37.8427029381611,0.132313016670718,"EIF3F",1.1630441317399e-312,"EIF3F"
