ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Temporal_Cluster,Database
R-HSA-72766,Translation,17/43,344/10039,0.04941860465116279,11.5375202812331,13.043328667332267,1.5674325713477226e-14,9.028411610962882e-12,6.89670331392998e-12,RPS27/RPL34/RPL37/UBC/RPS15/RPL36/RPS28/MT-ND1/MT-CO1/MT-CO2/MT-ATP6/MT-CO3/MT-ND3/MT-ND4L/MT-ND4/MT-ND5/MT-CYB,17,1,Reactome
R-HSA-5419276,Mitochondrial translation termination,10/43,100/10039,0.1,23.346511627906978,14.729333388341251,8.879071545696465e-12,2.557172605160582e-9,1.9533957400532224e-9,MT-ND1/MT-CO1/MT-CO2/MT-ATP6/MT-CO3/MT-ND3/MT-ND4L/MT-ND4/MT-ND5/MT-CYB,10,1,Reactome
R-HSA-5368287,Mitochondrial translation,10/43,109/10039,0.09174311926605505,21.41881800725411,14.057688728503022,2.1283282103017934e-11,4.086390163779443e-9,3.1215480417759636e-9,MT-ND1/MT-CO1/MT-CO2/MT-ATP6/MT-CO3/MT-ND3/MT-ND4L/MT-ND4/MT-ND5/MT-CYB,10,1,Reactome
R-HSA-1428517,Aerobic respiration and respiratory electron transport,10/43,247/10039,0.04048582995951417,9.452028999152622,8.82101280304094,6.365073527024479e-8,9.16570587891525e-6,7.001580879726928e-6,UBC/MT-ND1/MT-CO1/MT-CO2/MT-ATP6/MT-CO3/MT-ND3/MT-ND4/MT-ND5/MT-CYB,10,1,Reactome
R-HSA-877300,Interferon gamma signaling,7/43,93/10039,0.07526881720430108,17.572643160790197,10.530614773255385,1.1443415079840459e-7,1.0914133174051362e-5,8.337185063511458e-6,HLA-A/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DPA1/B2M/MT2A,7,1,Reactome
R-HSA-913531,Interferon Signaling,10/43,265/10039,0.03773584905660377,8.810004387889425,8.450506638037535,1.2331275247259792e-7,1.0914133174051362e-5,8.337185063511458e-6,HLA-A/HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DPA1/ACTB/UBC/B2M/MT2A/ACTG1,10,1,Reactome
R-HSA-9954716,ZNF598 and the Ribosome-associated Quality Trigger (RQT) complex dissociate a ribosome stalled on a no-go mRNA,7/43,95/10039,0.07368421052631578,17.20269277845777,10.406702560157049,1.3263703510131863e-7,1.0914133174051362e-5,8.337185063511458e-6,RPS27/RPL34/RPL37/UBC/RPS15/RPL36/RPS28,7,1,Reactome
R-HSA-611105,Respiratory electron transport,8/43,153/10039,0.05228758169934641,12.207326341389269,9.16182791493416,2.2360870806464487e-7,1.609982698065443e-5,1.2298478943555468e-5,MT-ND1/MT-CO1/MT-CO2/MT-CO3/MT-ND3/MT-ND4/MT-ND5/MT-CYB,8,1,Reactome
R-HSA-2408522,Selenoamino acid metabolism,7/43,107/10039,0.06542056074766354,15.273418821995218,9.735230585378064,3.01365398783578e-7,1.928738552214899e-5,1.4733419496086036e-5,RPS27/RPL34/RPL37/NNMT/RPS15/RPL36/RPS28,7,1,Reactome
R-HSA-202430,Translocation of ZAP-70 to Immunological synapse,4/43,17/10039,0.23529411764705882,54.93296853625171,14.596417812864898,6.668995874604101e-7,3.841341623771962e-5,2.9343581848258044e-5,HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DPA1,4,1,Reactome
R-HSA-202427,Phosphorylation of CD3 and TCR zeta chains,4/43,20/10039,0.2,46.693023255813955,13.415207766499687,1.3450017944750927e-6,7.042918487433214e-5,5.380007177900371e-5,HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DPA1,4,1,Reactome
R-HSA-156902,Peptide chain elongation,6/43,88/10039,0.06818181818181818,15.918076109936573,9.218611040138226,1.7948257599395538e-6,7.409042275442969e-5,5.659685071518935e-5,RPS27/RPL34/RPL37/RPS15/RPL36/RPS28,6,1,Reactome
R-HSA-192823,Viral mRNA Translation,6/43,88/10039,0.06818181818181818,15.918076109936573,9.218611040138226,1.7948257599395538e-6,7.409042275442969e-5,5.659685071518935e-5,RPS27/RPL34/RPL37/RPS15/RPL36/RPS28,6,1,Reactome
R-HSA-9954714,PELO:HBS1L and ABCE1 dissociate a ribosome on a non-stop mRNA,6/43,89/10039,0.06741573033707865,15.739221322184477,9.16015247784768,1.918479230067596e-6,7.409042275442969e-5,5.659685071518935e-5,RPS27/RPL34/RPL37/RPS15/RPL36/RPS28,6,1,Reactome
R-HSA-9948299,Ribosome-associated quality control,7/43,143/10039,0.04895104895104895,11.428362335339079,8.237567523872016,2.1558994585355966e-6,7.409042275442969e-5,5.659685071518935e-5,RPS27/RPL34/RPL37/UBC/RPS15/RPL36/RPS28,7,1,Reactome
R-HSA-2408557,Selenocysteine synthesis,6/43,91/10039,0.06593406593406594,15.393304370048556,9.04602985966163,2.186696504905043e-6,7.409042275442969e-5,5.659685071518935e-5,RPS27/RPL34/RPL37/RPS15/RPL36/RPS28,6,1,Reactome
R-HSA-72764,Eukaryotic Translation Termination,6/43,91/10039,0.06593406593406594,15.393304370048556,9.04602985966163,2.186696504905043e-6,7.409042275442969e-5,5.659685071518935e-5,RPS27/RPL34/RPL37/RPS15/RPL36/RPS28,6,1,Reactome
R-HSA-156842,Eukaryotic Translation Elongation,6/43,92/10039,0.06521739130434782,15.225985844287157,8.9903153719731,2.3318505494638485e-6,7.461921758284315e-5,5.70007912091163e-5,RPS27/RPL34/RPL37/RPS15/RPL36/RPS28,6,1,Reactome
R-HSA-975956,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),6/43,94/10039,0.06382978723404255,14.902028698664026,8.881461008890062,2.645788803801852e-6,8.020917636788772e-5,6.127089861435868e-5,RPS27/RPL34/RPL37/RPS15/RPL36/RPS28,6,1,Reactome
R-HSA-72689,Formation of a pool of free 40S subunits,6/43,100/10039,0.06,14.007906976744186,8.573946651508788,3.800552191236327e-6,1.0424371724533925e-4,7.96306173401897e-5,RPS27/RPL34/RPL37/RPS15/RPL36/RPS28,6,1,Reactome
R-HSA-9633012,Response of EIF2AK4 (GCN2) to amino acid deficiency,6/43,100/10039,0.06,14.007906976744186,8.573946651508788,3.800552191236327e-6,1.0424371724533925e-4,7.96306173401897e-5,RPS27/RPL34/RPL37/RPS15/RPL36/RPS28,6,1,Reactome
R-HSA-9010553,Regulation of expression of SLITs and ROBOs,7/43,157/10039,0.044585987261146494,10.40927270034069,7.7934213447374345,4.019867642596982e-6,1.0524744373344825e-4,8.039735285193963e-5,RPS27/RPL34/RPL37/UBC/RPS15/RPL36/RPS28,7,1,Reactome
R-HSA-156827,L13a-mediated translational silencing of Ceruloplasmin expression,6/43,110/10039,0.05454545454545454,12.734460887949258,8.116175486992224,6.615551327346836e-6,1.6062184560868868e-4,1.2269724317330388e-4,RPS27/RPL34/RPL37/RPS15/RPL36/RPS28,6,1,Reactome
R-HSA-1799339,SRP-dependent cotranslational protein targeting to membrane,6/43,111/10039,0.05405405405405406,12.619736015084852,8.07368063742683,6.971434271210446e-6,1.6062184560868868e-4,1.2269724317330388e-4,RPS27/RPL34/RPL37/RPS15/RPL36/RPS28,6,1,Reactome
R-HSA-72706,GTP hydrolysis and joining of the 60S ribosomal subunit,6/43,111/10039,0.05405405405405406,12.619736015084852,8.07368063742683,6.971434271210446e-6,1.6062184560868868e-4,1.2269724317330388e-4,RPS27/RPL34/RPL37/RPS15/RPL36/RPS28,6,1,Reactome
R-HSA-927802,Nonsense-Mediated Decay (NMD),6/43,114/10039,0.05263157894736842,12.287637698898408,7.949410590062626,8.133494430200185e-6,1.735145478442706e-4,1.3254583515881783e-4,RPS27/RPL34/RPL37/RPS15/RPL36/RPS28,6,1,Reactome
R-HSA-975957,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),6/43,114/10039,0.05263157894736842,12.287637698898408,7.949410590062626,8.133494430200185e-6,1.735145478442706e-4,1.3254583515881783e-4,RPS27/RPL34/RPL37/RPS15/RPL36/RPS28,6,1,Reactome
R-HSA-202433,Generation of second messenger molecules,4/43,32/10039,0.125,29.183139534883722,10.472662548031064,9.616945099459135e-6,1.9051585259823741e-4,1.455329429569869e-4,HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DPA1,4,1,Reactome
R-HSA-72613,Eukaryotic Translation Initiation,6/43,118/10039,0.05084745762711865,11.871107607410329,7.790794934104715,9.922700656158198e-6,1.9051585259823741e-4,1.455329429569869e-4,RPS27/RPL34/RPL37/RPS15/RPL36/RPS28,6,1,Reactome
R-HSA-72737,Cap-dependent Translation Initiation,6/43,118/10039,0.05084745762711865,11.871107607410329,7.790794934104715,9.922700656158198e-6,1.9051585259823741e-4,1.455329429569869e-4,RPS27/RPL34/RPL37/RPS15/RPL36/RPS28,6,1,Reactome
R-HSA-202424,Downstream TCR signaling,5/43,78/10039,0.0641025641025641,14.965712581991651,8.120890057212614,1.9007736266809316e-5,3.5317600289297315e-4,2.6978722443213223e-4,HLA-DRA/HLA-DRB1/HLA-DQA1/HLA-DPA1/UBC,5,1,Reactome
R-HSA-168273,Influenza Viral RNA Transcription and Replication,6/43,133/10039,0.045112781954887216,10.532260884770064,7.258005254415556,1.968767653014047e-5,3.5437817754252845e-4,2.7070555228943146e-4,RPS27/RPL34/RPL37/RPS15/RPL36/RPS28,6,1,Reactome
R-HSA-376176,Signaling by ROBO receptors,7/43,201/10039,0.03482587064676617,8.130625940067107,6.69756556948704,2.0317205764953113e-5,3.5462759153372705e-4,2.7089607686604154e-4,RPS27/RPL34/RPL37/UBC/RPS15/RPL36/RPS28,7,1,Reactome
R-HSA-977225,Amyloid fiber formation,4/43,46/10039,0.08695652173913043,20.301314459049543,8.605231498310138,4.178270817446081e-5,6.896045932465797e-4,5.26781286507804e-4,LTF/SAA1/UBC/B2M,4,1,Reactome
