"Temporal_Cluster","Gene"
"2","ACTL6A"
"2","GMPS"
"2","KRT8"
"2","MRPS15"
"2","PRDX4"
"2","PHGDH"
"2","MORF4L2"
"2","ATP5MG"
"2","CRABP1"
"2","LMCD1"
"2","SSR1"
"2","MAP1LC3B"
"2","ODC1"
"2","C1orf122"
"2","LMO4"
"2","PARP1"
"2","HNRNPH3"
"2","TMEM123"
"2","TMEM205"
"2","FAM178B"
"2","PRPF31"
"2","PERP"
"2","TMEM258"
"2","FADS2"
"2","NR1H2"
"2","MSRB2"
"2","SH3BGR"
"2","ARF4"
"2","YIF1A"
"2","UBB"
"2","GRN"
"2","FDPS"
"2","SLIRP"
"2","PCNA"
"2","CHCHD2"
"2","CALR"
"2","MDK"
"2","POLR1D"
"2","SF3B2"
"2","SIX1"
"2","CCNH"
"2","UNC50"
"2","RASIP1"
"2","SMCO4"
"2","MYDGF"
"2","KIT"
"2","PRDX1"
"2","HSBP1"
"2","TFPT"
"2","CCND1"
"2","TTYH1"
"2","MALL"
"2","TUBA1B"
"2","FABP5"
"2","KRT6B"
"2","NPW"
"2","SEC11C"
"2","PSMG1"
"2","TTC3"
"2","MBOAT7"
"2","NOTCH3"
"2","EIF3L"
"2","TMED10"
"2","CRABP2"
"2","PRPF40A"
"2","LMAN1"
"2","RPS7"
"2","MYC"
"2","POLR2F"
"2","COMMD6"
"2","S100A1"
"2","TMED2"
"2","PCBP2"
"2","CNPY2"
"2","FYTTD1"
"2","RBM42"
"2","RPS25"
"2","KRT16"
"2","CYB5A"
"2","MRPL47"
"2","DDX39A"
"2","ARL6IP5"
"2","TUBA1C"
"2","RBX1"
"2","CLDN7"
"2","VIM"
"2","TRMT10C"
"2","ANKRD35"
"2","HEXIM1"
"2","CDKN2A"
"2","CAPG"
"2","ANAPC16"
"2","COX5B"
"2","S100P"
"2","NACA"
"2","MLEC"
"2","UQCRH"
"2","SEC63"
"2","HIGD2A"
"2","FAM213A"
"2","NIPSNAP3A"
"2","FAM162A"
"2","FXYD3"
"2","HNRNPA1"
"2","CCT5"
"2","RPL39L"
"2","DNAJC9"
"2","H3F3A"
"2","SMIM7"
"2","GTPBP4"
"2","MYO10"
"2","APLP2"
"2","CCSER2"
"2","DCUN1D5"
"2","PAM"
"2","MFSD1"
"2","LURAP1L"
"2","ERLEC1"
"2","RPL23A"
"2","ASPG"
"2","HEY1"
"2","LAPTM4B"
"2","RPS16"
"2","SH3YL1"
"2","RPL35A"
"2","AP3S1"
"2","TMEM59"
"2","RPL8"
"2","CKS1B"
"2","AQP3"
"2","PEPD"
"2","RHOBTB3"
"2","KANK2"
"2","CSTB"
"2","TMEM213"
"2","IGFBP5"
"2","FAM84A"
"2","RPL31"
"2","TM9SF2"
"2","GCHFR"
"2","RFC4"
"2","RPS5"
"2","REEP5"
"2","RPS10"
"2","YBX1"
"2","EEF1B2"
"2","TMEM45A"
"2","RPL7"
"2","RPL24"
"2","EIF4A2"
"2","VCAN"
"2","IGFBP3"
"2","RPS23"
"2","CXADR"
"2","RPL27"
"2","RRAGA"
"2","EWSR1"
"2","KRT14"
"2","YIPF2"
"2","PPP1R16A"
"2","BAMBI"
"2","DDIT4"
"2","RABAC1"
"2","GPI"
