"Gene","Cluster","Centroid_Pearson_Correlation","Silhouette_Width","Rank_Within_Cluster"
"AP2M1",2,0.967017676025692,0.711438100091041,65
"NUDT5",2,0.96667633722838,0.717571420141423,66
"FKBP8",2,0.966675647574228,0.685531645640735,67
"RAD23B",2,0.966403440225359,0.696263946508118,68
"ABRACL",2,0.966022237224696,0.715540846262631,69
"GADD45GIP1",2,0.965787459609157,0.700132055525041,70
"MAF1",2,0.965708475480822,0.695362535011257,71
"SDHC",2,0.965594950491456,0.713620735287137,72
"GPAA1",2,0.965507343110621,0.697668092701541,73
"TSFM",2,0.965356569962615,0.701846913590124,74
"SSR3",2,0.965261025669032,0.685648223424509,75
"FIBP",2,0.965099722707417,0.692404300094672,76
"NDUFB3",2,0.965020859865258,0.704841556208191,77
"COMT",2,0.964630799225451,0.707324765546156,78
"KIN",2,0.9644678433399,0.700572439685275,79
"PSMC4",2,0.964269684588063,0.709031381477844,80
"ATRAID",2,0.963895948622671,0.691165083521414,81
"DNAJB11",2,0.963734222249265,0.695985601600143,82
"TECR",2,0.963559976277515,0.699607238003048,83
"DYNLT1",2,0.963237709628235,0.708354042054992,84
"CUTA",2,0.962754106743741,0.698903583579536,85
"PFDN4",2,0.962744604264464,0.701629261068141,86
"HSPB11",2,0.962589778438039,0.699106250610398,87
"CBX5",2,0.96235736440966,0.705377747571669,88
"PSMB1",2,0.961944785270182,0.701459336628738,89
"RER1",2,0.961618904720186,0.688473590948547,90
"CSNK2B",2,0.961251160714518,0.686831107010606,91
"MRPS14",2,0.961234379330924,0.697652760578971,92
"MRPS33",2,0.960959780745222,0.681905852914083,93
"PPIC",2,0.960942510301357,0.690559814888334,94
"MAP3K13",2,0.960718660772863,0.691956612203714,95
"NOP10",2,0.960248961550848,0.689544283776438,96
"RPN2",2,0.959935939145077,0.681850261160471,97
"HADHB",2,0.959428584049821,0.682212360628902,98
"YEATS4",2,0.959379585486041,0.692701894608423,99
"PARL",2,0.959242489987483,0.695385173710032,100
"PIH1D1",2,0.959166182939685,0.707477259201228,101
"NDUFB7",2,0.959135203997158,0.6895538931235,102
"TFG",2,0.958871611958795,0.704408731474618,103
"SFT2D1",2,0.958795652055343,0.678082495066888,104
"CCT4",2,0.95873045363156,0.698381928129857,105
"SF3B5",2,0.958336929593015,0.684255490796421,106
"ANP32B",2,0.958315219579547,0.695961858542626,107
"TMEM14B",2,0.958309481323132,0.694329388699394,108
"OST4",2,0.958146095863966,0.689702049634953,109
"TMEM134",2,0.958113664248982,0.673559794975203,110
"CYC1",2,0.957963597067434,0.710736713785972,111
"ASNA1",2,0.957426163867202,0.679056764475511,112
"ADI1",2,0.957291108610396,0.691177010777905,113
"TSTA3",2,0.957200190138314,0.688365377781578,114
"VPS72",2,0.957144001688506,0.705576504062235,115
"PSMA3",2,0.957054041593159,0.688641813632585,116
"CCT2",2,0.956728529229259,0.687473402111582,117
"TCP1",2,0.956485996894198,0.69502100666348,118
"HMGA1",2,0.956481785557361,0.695370196922125,119
"MRPL9",2,0.956437988137082,0.700864212875266,120
"IDH2",2,0.955965063382552,0.695858818287572,121
"HDAC2",2,0.955894897383967,0.699949532183835,122
"ATP5F1B",2,0.955549740309065,0.705218139763356,123
"UQCRFS1",2,0.955369882814365,0.686945459633437,124
"LSM10",2,0.95527987939963,0.685909272831582,125
"ILF2",2,0.955021978403673,0.689420655869957,126
"CDC123",2,0.954828525210042,0.700539016645491,127
"AHSA1",2,0.954813112347098,0.687026241673721,128
"SSR2",2,0.954601941942911,0.679525329995847,129
"STX10",2,0.954562135141838,0.699470773819987,130
"PTRHD1",2,0.954456250320305,0.677463266475627,131
"COMMD3",2,0.954223181505747,0.684480352711463,132
"HMGN1",2,0.953730454914346,0.693066369484072,133
"RPL22L1",2,0.953511991049045,0.684631392084074,134
"NDUFB9",2,0.9535007665841,0.687041708995353,135
"ERP44",2,0.953472452237501,0.671404296939115,136
"BRK1",2,0.952965815620668,0.692850913060548,137
"RAB1A",2,0.95291787559653,0.675044266087904,138
"SMAGP",2,0.952669216890862,0.698929585033345,139
"DPY30",2,0.95265875636069,0.685578150439326,140
"CFAP298",2,0.952644154499159,0.684359812729384,141
"PCMT1",2,0.952619323498116,0.682904971873039,142
"PSMB2",2,0.952095319841624,0.697115506861742,143
"TCTEX1D2",2,0.95206693781411,0.704916454758618,144
"SLC25A5",2,0.951955800451932,0.697987889740245,145
"CRIPT",2,0.951743779967566,0.667018490476099,146
"SELENOF",2,0.951634509239584,0.666465297211317,147
"TSPO",2,0.951601032756957,0.669828841749909,148
"MRPL34",2,0.951583171707257,0.673607951308774,149
"DGUOK",2,0.951549866655044,0.679412015383929,150
"SEC13",2,0.951294797356628,0.695251554387805,151
"SHKBP1",2,0.95108742825953,0.696071623680678,152
"EXOSC3",2,0.951059320735062,0.691309446578665,153
"UROD",2,0.950888619446302,0.688510743349012,154
"PSIP1",2,0.950443064255518,0.693436251855329,155
"ARL1",2,0.950318042524359,0.680701479394489,156
"SF3B6",2,0.950157610336695,0.700180991924983,157
"CDK4",2,0.949855433285527,0.699067022830909,158
"NDUFS2",2,0.949849514955061,0.680031439404581,159
"PSMB4",2,0.949619140946541,0.688860764415843,160
"ALDH16A1",2,0.949211692764984,0.684813368998446,161
"PLLP",2,0.948456605617463,0.684458556804169,162
"ATP6V1G1",2,0.948345182131396,0.665938850879677,163
"YBEY",2,0.947930430637223,0.682929631734393,164
"COX14",2,0.947757840416507,0.673257690507107,165
"CLIC1",2,0.947484713422999,0.675487795378979,166
"LAMTOR5",2,0.947328637949998,0.670818889195093,167
"UCHL3",2,0.946946616708743,0.679443106100249,168
"MPZL2",2,0.946769806167207,0.678793428547349,169
"MGST3",2,0.946024415842955,0.665631856821474,170
"ACTR1B",2,0.945697539949889,0.665239064976012,171
"FBL",2,0.945594796657581,0.677736720717442,172
"PAK4",2,0.945341829084141,0.692029939537663,173
"SYNCRIP",2,0.945267579113194,0.674502740377098,174
"DDAH2",2,0.945037664949273,0.667547605931314,175
"PCBD1",2,0.945011466449302,0.668257880504188,176
"PUF60",2,0.944819045505388,0.656854313463752,177
"CHCHD1",2,0.944804005068457,0.679883593276264,178
"FKBP10",2,0.944614319983796,0.674028957395487,179
"MRPL3",2,0.944601160605535,0.671390258830102,180
"ATP5MC3",2,0.944294825114886,0.681164988415725,181
"CFL1",2,0.944281382395457,0.681964265986137,182
"SAP18",2,0.943968770820424,0.664832768338693,183
"MEAF6",2,0.943833800300901,0.672981629984403,184
"MRPL58",2,0.943179698690663,0.690977870417284,185
"OAT",2,0.943080911827425,0.655469209512698,186
"CCT8",2,0.943067975491144,0.694658617958225,187
"MAGEF1",2,0.942760338155423,0.665026943217906,188
"EFNA4",2,0.942597171199389,0.675951752718625,189
"MED10",2,0.942553859035086,0.682096968554463,190
"FARSA",2,0.942476047157182,0.669479396891456,191
"SPINT2",2,0.942435185184,0.661822923006901,192
"PSENEN",2,0.942419134286561,0.670078634061277,193
"ISOC2",2,0.942143810321604,0.691546812803394,194
"LINC00623",2,0.942139653143392,0.671475386400543,195
"FXYD6",2,0.94151080894915,0.671987836507416,196
"NCBP2-AS2",2,0.940936565299979,0.694545564860616,197
"MRPL14",2,0.940834565948052,0.665241804241729,198
"SERP1",2,0.940673625300308,0.680660386976166,199
"SRSF9",2,0.940358750804142,0.659670982278806,200
"SLC3A2",2,0.940263421586753,0.658307493387691,201
"PPP2R1A",2,0.940130441806256,0.682247909839199,202
