"Gene","Cluster","Centroid_Pearson_Correlation","Silhouette_Width","Rank_Within_Cluster"
"UBA52",2,0.770383956335352,0.461949742460413,462
"TET1",2,0.768996068374142,0.554334713048124,463
"PTX3",2,0.768143396004511,0.515829830685926,464
"RPLP2",2,0.768097677571969,0.504023099522518,465
"RPS6",2,0.767090845342518,0.521741602561806,466
"RBP4",2,0.764916259475313,0.526272808985622,467
"CADM1",2,0.764604784422462,0.49904600745868,468
"CLEC7A",2,0.763158530456216,0.501393207114268,469
"HSPA14.1",2,0.75864092578335,0.54135300763605,470
"RPL28",2,0.756817177382774,0.517901553671948,471
"RPL7A",2,0.756330987816335,0.470655177283148,472
"PLTP",2,0.746509279898125,0.49229350264274,473
"JUNB",2,0.746429718781965,0.418838390456702,474
"MXRA8",2,0.745260247210904,0.48511025539252,475
"CXCR4",2,0.74269124647937,0.492745944494868,476
"PPP1R1B",2,0.740479163885568,0.474560098853377,477
"DLX5",2,0.735031178368889,0.495385311151153,478
"MAL",2,0.733857149710341,0.488663754345297,479
"RPL32",2,0.730657455389836,0.474409618648605,480
"FOLR1",2,0.730442376521288,0.482120500707854,481
"CXCL14",2,0.721472868866648,0.478566681143873,482
"RPS27A",2,0.71784207085245,0.452851374326522,483
"RPS9",2,0.714892339241327,0.406629763051108,484
"CHST9",2,0.707288375251994,0.506018070984936,485
"NECTIN4",2,0.699633466375149,0.511846182677673,486
"RPL6",2,0.698289062247742,0.400243126617039,487
"RPL10A",2,0.697846974133229,0.378891367865156,488
"AC020916.1",2,0.690436743421041,0.417524552442092,489
"RPS24",2,0.689985036103747,0.410434141446751,490
"NEBL",2,0.688044295806712,0.511064469420466,491
"CDA",2,0.687100680773897,0.454162817173239,492
"RPL21",2,0.686226619314753,0.411772360583667,493
"GJA1",2,0.680795551339185,0.449613029978647,494
"CALML3",2,0.673933085265244,0.442669312042116,495
"FGFBP2",2,0.667899846945449,0.453696013043839,496
"RPL41",2,0.666932191416448,0.410974454209651,497
"GPX3",2,0.662072362892962,0.444653493709698,498
"RPL10",2,0.653862201113953,0.346716337353875,499
"ID1",2,0.632984713470038,0.425619729395487,500
"ALDH1A1",2,0.615496782568749,0.418812834387784,501
"AL139393.2",2,0.614109365016947,0.39221306091508,502
"ERBB3",2,0.604022954146257,0.434692389729273,503
"CHST1",2,0.602559440173402,0.411873397024837,504
"CA2",2,0.602208885958339,0.374358179075166,505
"HOOK2",2,0.587085956624618,0.446940484886902,506
"DLX1",2,0.586726749306348,0.377967221642803,507
"P4HA1",2,0.566799258251558,0.405398525688596,508
"HSD17B1",2,0.557779118994251,0.443738655458999,509
"TF",2,0.55763548984336,0.36328861171229,510
"NCBP2",2,0.54565623330326,0.419256026489435,511
"AC011503.1",2,0.541909022085097,0.35510631185442,512
"KIAA1324",2,0.522014808828022,0.344396720231989,513
"SCRG1",2,0.510635560972697,0.338092305655146,514
"LTBP4",2,0.492070978640068,0.397743604897779,515
"CTHRC1",2,0.484956075486003,0.288010211104563,516
