ID,Description,GeneRatio,BgRatio,RichFactor,FoldEnrichment,zScore,pvalue,p.adjust,qvalue,geneID,Count,Temporal_Cluster,Database
R-HSA-5358351,Signaling by Hedgehog,15/373,132/10039,0.11363636363636363,3.0584328540092613,4.676352119455493,1.0978631622081469e-4,6.860128378217758e-4,4.501270888960416e-4,PSMB2/PSMA5/PSMB4/ERLEC1/RPS27A/PSMD2/PSMB1/TUBA1B/TUBA1C/PSMB5/PSMA3/UBB/UBA52/PSMC4/RBX1,15,2,Reactome
R-HSA-2979096,NOTCH2 Activation and Transmission of Signal to the Nucleus,6/373,22/10039,0.2727272727272727,7.340238849622227,5.8479377181616545,1.1368205776501182e-4,7.064527875397164e-4,4.6353875491228063e-4,APH1A/RPS27A/MDK/UBB/UBA52/PSENEN,6,2,Reactome
R-HSA-382556,ABC-family proteins mediated transport,12/373,90/10039,0.13333333333333333,3.588561215370867,4.845566914198749,1.1596883640656337e-4,7.167254315618753e-4,4.702791467738117e-4,PSMB2/PSMA5/PSMB4/ERLEC1/RPS27A/PSMD2/PSMB1/PSMB5/PSMA3/UBB/UBA52/PSMC4,12,2,Reactome
R-HSA-9694516,SARS-CoV-2 Infection,24/373,282/10039,0.0851063829787234,2.2905709885345957,4.31820161974197,1.3054733912296667e-4,8.024404377612788e-4,5.265210187739789e-4,RPS7/YWHAQ/SDC1/OST4/RPS27A/SUMO1/SEC13/RPS23/RPS18/RPS10/GJA1/RPS6/TMEM258/RPS25/RPS24/RPS26/MAP1LC3B/UBB/RPN2/UBA52/RPS16/RPS11/RPS9/RPS5,24,2,Reactome
R-HSA-202424,Downstream TCR signaling,11/373,78/10039,0.14102564102564102,3.7955935931807243,4.868828576072194,1.3349024581912452e-4,8.160944217374586e-4,5.354800756898025e-4,PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/PSMB5/PSMA3/UBB/UBA52/PSMC4,11,2,Reactome
R-HSA-205043,NRIF signals cell death from the nucleus,5/373,15/10039,0.3333333333333333,8.971403038427166,6.068962927010104,1.5208946955486586e-4,9.248020971320069e-4,6.068085797180555e-4,APH1A/RPS27A/UBB/UBA52/PSENEN,5,2,Reactome
R-HSA-9909396,Circadian clock,13/373,107/10039,0.12149532710280374,3.269950640174388,4.637079729610108,1.594850485801248e-4,9.645860424819312e-4,6.329128018518884e-4,PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/CSNK2B/PSMB1/PSMB5/PSMA3/UBB/UBA52/PSMC4/RBX1,13,2,Reactome
R-HSA-69481,G2/M Checkpoints,14/373,122/10039,0.11475409836065574,3.0885158001142705,4.559131722757932,1.667637687819802e-4,0.0010032437366618062,6.582780346657112e-4,PSMB2/PSMA5/PSMB4/YWHAQ/RPS27A/PSMD2/RFC4/PSMB1/PSMB5/PSMA3/UBB/BABAM1/UBA52/PSMC4,14,2,Reactome
R-HSA-1500931,Cell-Cell communication,23/373,269/10039,0.08550185873605948,2.3012149057675635,4.249447850477549,1.6801135230533413e-4,0.0010054012669700153,6.596936974394906e-4,PSMB2/PSMA5/PSMB4/NECTIN4/OST4/RPS27A/PSMD2/CSNK2B/HDAC2/PSMB1/MYC/TMEM258/CADM1/KRT5/PSMB5/PSMA3/CLDN7/UBB/KRT14/SEC11C/RPN2/UBA52/PSMC4,23,2,Reactome
R-HSA-72203,Processing of Capped Intron-Containing Pre-mRNA,24/373,287/10039,0.08362369337979095,2.2506655706158747,4.2226969311340765,1.7087684220079362e-4,0.0010171668869952504,6.674137049947894e-4,YBX1/MAGOH/SF3B6/RPS27A/PRPF40A/SEC13/POLR2H/NCBP2/FYTTD1/SF3B5/PUF60/SF3B2/RBM17/PCBP2/HNRNPA1/SRSF9/SAP18/UBB/DDX39A/LSM4/UBA52/RBM42/PRPF31/POLR2F,24,2,Reactome
R-HSA-5688426,Deubiquitination,20/373,218/10039,0.09174311926605505,2.469193496814817,4.308082433754929,1.7479033746809343e-4,0.0010350150349550454,6.791247611739094e-4,PSMB2/PSMA5/PSMB4/RPS27A/ACTL6A/PSMD2/PSMB1/MYC/RAD23B/VDAC2/UCHL3/PSMB5/PSMA3/UBB/RAD23A/BABAM1/FKBP8/UBA52/PSMC4/TFPT,20,2,Reactome
R-HSA-9734767,Developmental Cell Lineages,15/373,138/10039,0.10869565217391304,2.9254575125305977,4.473923656424014,1.8132638675343992e-4,0.001068125746969482,7.008503435371443e-4,EPCAM/CXCR4/KIT/DLX5/FABP5/CA2/AQP3/ALDH1A1/CALML5/VIM/KRT5/KRT8/KRT19/KRT14/SLPI,15,2,Reactome
R-HSA-9824272,Somitogenesis,8/373,44/10039,0.18181818181818182,4.893492566414818,5.084273504670279,1.84628647824989e-4,0.0010819430087568008,7.099165351329001e-4,PSMB2/PSMA5/PSMB4/PSMD2/PSMB1/PSMB5/PSMA3/PSMC4,8,2,Reactome
R-HSA-110312,Translesion synthesis by REV1,5/373,16/10039,0.3125,8.410690348525469,5.827394358979015,2.145169437846995e-4,0.001244198273951257,8.163802718931883e-4,RPS27A/RFC4/UBB/PCNA/UBA52,5,2,Reactome
R-HSA-8866427,VLDLR internalisation and degradation,5/373,16/10039,0.3125,8.410690348525469,5.827394358979015,2.145169437846995e-4,0.001244198273951257,8.163802718931883e-4,RPS27A/AP2M1/UBB/UBA52/NR1H2,5,2,Reactome
R-HSA-9837999,Mitochondrial protein degradation,12/373,96/10039,0.125,3.3642761394101877,4.5722473016025464,2.1650073449272112e-4,0.0012492976056697326,8.197261966561137e-4,COX5B/CHCHD2/ATP5MG/ATP5F1C/TFAM/ATP5F1B/IDH2/COX4I1/ATP5PD/ECH1/ATP5PF/ATP5PO,12,2,Reactome
R-HSA-201681,TCF dependent signaling in response to WNT,16/373,156/10039,0.10256410256410256,2.760431704131436,4.353030388416156,2.1971223262667346e-4,0.001261393579191714,8.2766296554531e-4,PSMB2/PSMA5/PSMB4/DPY30/RPS27A/PSMD2/CSNK2B/PSMB1/MYC/PSMB5/PSMA3/UBB/UBA52/PSMC4/PPP2R1A/RBX1,16,2,Reactome
R-HSA-5696397,Gap-filling DNA repair synthesis and ligation in GG-NER,6/373,25/10039,0.24,6.459410187667561,5.368668060887084,2.45492636759456e-4,0.0014022836978532563,9.201079687156644e-4,RPS27A/POLE4/RFC4/UBB/PCNA/UBA52,6,2,Reactome
R-HSA-2644602,Signaling by NOTCH1 PEST Domain Mutants in Cancer,9/373,58/10039,0.15517241379310345,4.176342793750578,4.765505234251328,2.600069885021771e-4,0.0014486103645121296,9.505051951985212e-4,APH1A/RPS27A/HDAC2/HEY1/MYC/UBB/UBA52/PSENEN/RBX1,9,2,Reactome
