"Database","Temporal_Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Biological_Theme"
"Reactome","2","R-HSA-71291","Metabolism of amino acids and derivatives","53/373","339/10039",1.48367577219295e-19,5.59345766116741e-18,3.67014533121413e-18,"PSMB2/RPL5/PSMA5/PHGDH/PSMB4/ADI1/RPS7/ODC1/RPS27A/RPL31/RPL32/RPL24/RPL22L1/PSMD2/RPL39L/RPL35A/RPS23/RPS18/RPS10/RPL10A/PSMB1/RPL10/RPL7/RPL8/RPS6/GRHPR/RPL7A/RPLP2/SLC3A2/RPS25/PCBD1/RPS24/OAT/RPS26/RPL41/RPL6/RPL21/PSMB5/PSMA3/NQO1/RPL23A/RPL27/RPL18A/UBA52/RPS16/PSMC4/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5/ASPG",53,"Metabolic processes"
"Reactome","2","R-HSA-351202","Metabolism of polyamines","10/373","46/10039",5.47528045081168e-06,4.48734941294784e-05,2.9443727824731e-05,"PSMB2/PSMA5/PSMB4/ODC1/PSMD2/PSMB1/PSMB5/PSMA3/NQO1/PSMC4",10,"Metabolic processes"
"GO_BP","2","GO:0046034","ATP metabolic process","23/468","226/15373",4.29177871964468e-07,7.64549723342417e-05,7.41111663617842e-05,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/NUDT5/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/TSPO/NDUFS2/ATP5MC3/PGAM1/ATP5PD/ATP5MG/PARP1/DDIT4/GPI/GAPDH",23,"Metabolic processes"
"GO_BP","2","GO:0006119","oxidative phosphorylation","23/468","136/15373",2.03095574264383e-11,3.79890271661528e-08,3.68244343863578e-08,"ATP5PO/GHITM/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/CYC1/ATP5F1B/UQCRFS1/NDUFB9/DGUOK/NDUFS2/ATP5PD/COX4I1/ATP5MG/CHCHD2/COX5B/UQCRH",23,"Mitochondrial / oxidative energy metabolism"
"Reactome","2","R-HSA-1428517","Aerobic respiration and respiratory electron transport","30/373","247/10039",9.15373531476207e-09,2.3529260547718e-07,1.54387162605437e-07,"SDHB/UQCRH/ATP5PB/NDUFS2/SDHC/RPS27A/MDH1/COX5B/ATP5MC3/NDUFB3/NDUFB5/HIGD2A/NDUFB9/CYC1/NDUFA8/ATP5MG/ATP5F1C/COX14/ATP5F1B/IDH2/COX4I1/UBB/ATP5PD/RAB5IF/NDUFB7/UBA52/UQCRFS1/ETFB/ATP5PF/ATP5PO",30,"Mitochondrial / oxidative energy metabolism"
"GO_BP","2","GO:0015986","proton motive force-driven ATP synthesis","16/468","71/15373",2.89544589080442e-10,3.61062102583311e-07,3.49993371713025e-07,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/NDUFS2/ATP5MC3/ATP5PD/ATP5MG",16,"Mitochondrial / oxidative energy metabolism"
"GO_BP","2","GO:0042776","proton motive force-driven mitochondrial ATP synthesis","15/468","65/15373",7.33667542451959e-10,6.86162569078195e-07,6.65127548354473e-07,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/NDUFS2/ATP5PD/ATP5MG",15,"Mitochondrial / oxidative energy metabolism"
"GO_BP","2","GO:0006754","ATP biosynthetic process","17/468","95/15373",3.57100046567671e-09,2.22651879034943e-06,2.15826256215022e-06,"ATP5PO/ATP5F1C/NDUFB5/ATP5PF/NDUFA8/ATP5PB/SDHB/SDHC/NDUFB3/NDUFB7/ATP5F1B/NDUFB9/NDUFS2/ATP5MC3/ATP5PD/ATP5MG/PARP1",17,"Mitochondrial / oxidative energy metabolism"
"Reactome","2","R-HSA-9010553","Regulation of expression of SLITs and ROBOs","49/373","157/10039",1.54947790043497e-32,5.84153168463983e-30,3.83291901686545e-30,"PSMB2/MAGOH/RPL5/PSMA5/PSMB4/RPS7/RPS27A/RPL31/RPL32/RPL24/RPL22L1/PSMD2/EIF4G1/RPL39L/NCBP2/RPL35A/RPS23/RPS18/RPS10/RPL10A/PSMB1/RPL10/RPL7/RPL8/RPS6/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/PSMB5/PSMA3/UBB/RPL23A/RPL27/RPL18A/UBA52/RPS16/PSMC4/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5/RBX1",49,"Other biological processes"
"Reactome","2","R-HSA-376176","Signaling by ROBO receptors","52/373","201/10039",5.05518855652724e-30,5.19765296130209e-28,3.41043821277675e-28,"PSMB2/MAGOH/RPL5/PSMA5/PSMB4/RPS7/RPS27A/RPL31/CXCR4/RPL32/RPL24/RPL22L1/PSMD2/EIF4G1/RPL39L/NCBP2/RPL35A/RPS23/RPS18/RPS10/RPL10A/PSMB1/RPL10/RPL7/RPL8/RPS6/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/PSMB5/PSMA3/PFN1/UBB/RPL23A/RPL27/RPL18A/UBA52/PAK4/RPS16/PSMC4/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5/RBX1",52,"Other biological processes"
"Reactome","2","R-HSA-2408557","Selenocysteine synthesis","36/373","91/10039",2.81237592214641e-28,1.5903985839738e-26,1.0435394869017e-26,"RPL5/RPS7/RPS27A/RPL31/RPL32/RPL24/RPL22L1/RPL39L/RPL35A/RPS23/RPS18/RPS10/RPL10A/RPL10/RPL7/RPL8/RPS6/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/RPL23A/RPL27/RPL18A/UBA52/RPS16/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5",36,"Other biological processes"
"Reactome","2","R-HSA-168273","Influenza Viral RNA Transcription and Replication","40/373","133/10039",5.63760587312698e-26,2.8982419284121e-24,1.90168045002609e-24,"RPL5/PARP1/RPS7/RPS27A/RPL31/SEC13/RPL32/RPL24/RPL22L1/POLR2H/RPL39L/RPL35A/RPS23/RPS18/RPS10/RPL10A/RPL10/RPL7/RPL8/RPS6/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/RPL23A/RPL27/RPL18A/UBA52/RPS16/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5/POLR2F",40,"Other biological processes"
"Reactome","2","R-HSA-168255","Influenza Infection","41/373","154/10039",2.55612753830629e-24,1.15639209832977e-22,7.58766279791973e-23,"RPL5/PARP1/RPS7/RPS27A/RPL31/SEC13/RPL32/RPL24/RPL22L1/POLR2H/RPL39L/RPL35A/RPS23/RPS18/RPS10/RPL10A/RPL10/RPL7/RPL8/RPS6/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/RPL23A/RPL27/CALR/RPL18A/UBA52/RPS16/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5/POLR2F",41,"Other biological processes"
"Reactome","2","R-HSA-72766","Translation","80/373","344/10039",1.18453543909253e-42,1.33970958161365e-39,8.79049983747612e-40,"PSMB2/MRPS15/RPL5/PSMA5/PSMB4/MRPL9/SSR2/MRPS14/RPS7/RPS27A/RPL31/EEF1B2/RPL32/RPL24/MRPL3/SSR3/RPL22L1/MRPL47/PSMD2/EIF4G1/EIF4A2/RPL39L/RPL35A/SRP72/MRPL36/RPS23/SRP19/SSR1/RPS18/RPS10/RPL10A/MRPL14/EEF1A1/PSMB1/MRPS33/RPL10/RPL7/EIF3H/RPL8/RPS6/SEC61B/RPL7A/RPLP2/RPS25/PPA1/MRPS16/CHCHD1/RPS24/RPS26/RPL41/TSFM/RPL6/RPL21/PSMB5/PSMA3/UBB/RPL23A/RPL27/MRPL58/SEC11C/RPN2/FARSA/GADD45GIP1/MRPL34/RPL18A/UBA52/MRPS12/RPS16/PSMC4/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5/EIF3D/EIF3L/RBX1/MRPL39/MRPS6",80,"Protein synthesis / translational processes"
"Reactome","2","R-HSA-1799339","SRP-dependent cotranslational protein targeting to membrane","44/373","111/10039",1.90557208134009e-34,1.07760101199782e-31,7.07067535444612e-32,"RPL5/SSR2/RPS7/RPS27A/RPL31/RPL32/RPL24/SSR3/RPL22L1/RPL39L/RPL35A/SRP72/RPS23/SRP19/SSR1/RPS18/RPS10/RPL10A/RPL10/RPL7/RPL8/RPS6/SEC61B/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/RPL23A/RPL27/SEC11C/RPN2/RPL18A/UBA52/RPS16/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5",44,"Protein synthesis / translational processes"
"Reactome","2","R-HSA-9948299","Ribosome-associated quality control","46/373","143/10039",3.11778073158467e-31,8.81552501855564e-29,5.78430372570313e-29,"PSMB2/RPL5/PSMA5/PSMB4/RPS7/RPS27A/RPL31/RPL32/RPL24/RPL22L1/PSMD2/RPL39L/RPL35A/RPS23/RPS18/RPS10/RPL10A/PSMB1/RPL10/RPL7/RPL8/RPS6/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/PSMB5/PSMA3/UBB/RPL23A/RPL27/RPL18A/UBA52/RPS16/PSMC4/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5/RBX1",46,"Protein synthesis / translational processes"
"Reactome","2","R-HSA-156827","L13a-mediated translational silencing of Ceruloplasmin expression","41/373","110/10039",7.37897919266309e-31,1.66912509338039e-28,1.09519585912157e-28,"RPL5/RPS7/RPS27A/RPL31/RPL32/RPL24/RPL22L1/EIF4G1/EIF4A2/RPL39L/RPL35A/RPS23/RPS18/RPS10/RPL10A/RPL10/RPL7/EIF3H/RPL8/RPS6/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/RPL23A/RPL27/RPL18A/UBA52/RPS16/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5/EIF3D/EIF3L",41,"Protein synthesis / translational processes"
"Reactome","2","R-HSA-72706","GTP hydrolysis and joining of the 60S ribosomal subunit","41/373","111/10039",1.13196169155332e-30,1.92870497857302e-28,1.26551911200519e-28,"RPL5/RPS7/RPS27A/RPL31/RPL32/RPL24/RPL22L1/EIF4G1/EIF4A2/RPL39L/RPL35A/RPS23/RPS18/RPS10/RPL10A/RPL10/RPL7/EIF3H/RPL8/RPS6/RPL7A/RPLP2/RPS25/RPS24/RPS26/RPL41/RPL6/RPL21/RPL23A/RPL27/RPL18A/UBA52/RPS16/RPL18/RPL13A/RPS11/RPS9/RPL28/RPS5/EIF3D/EIF3L",41,"Protein synthesis / translational processes"
