"Temporal_Cluster","Pattern","Early_Mean_Z","Late_Mean_Z","Peak_Bin","Trough_Bin"
"1","Early_Peaking_Decreasing",1.53064981481417,-0.397391907054685,3,8
"2","Late_Increasing",-0.948452958114389,1.0102279410153,19,6
