"Temporal_Cluster","Pattern","Gene_Count","Biological_Description"
"1","Early_Peaking_Decreasing",53,"Early-peaking immune/antigen-presentation-associated temporal program"
"2","Late_Increasing",516,"Broad late-emerging epithelial/cellular-state-associated temporal program"
