"Gene","Cluster","Centroid_Pearson_Correlation","Silhouette_Width","Rank_Within_Cluster","Peak_Bin","Peak_Z_Score","Trough_Bin","Trough_Z_Score","Early_Mean","Late_Mean","Early_Late_Difference","Overall_Slope","Temporal_Pattern"
"TAGLN",1,0.837015324959274,0.562997981058334,31,3,3.16726222407868,8,-0.486145596485497,1.49343305039864,-0.461520432628469,-1.95495348302711,-0.101262258378075,"Early_Peaking_Decreasing"
"A2M",1,0.827435698732389,0.541520550504504,32,3,3.2183230429102,6,-0.400344590596324,1.51565196369182,-0.391283776366385,-1.9069357400582,-0.0903215346558084,"Early_Peaking_Decreasing"
"PMP22",1,0.814158992514248,0.523006868220746,33,1,3.43077823341082,6,-0.47206917761576,1.71408683454347,-0.389955334094083,-2.10404216863755,-0.108375656835654,"Early_Peaking_Decreasing"
"IL32",1,0.805632367145365,0.531385401858568,34,4,3.62976266996614,6,-0.537404321331757,1.61607193083456,-0.461530822061424,-2.07760275289598,-0.0962434480850849,"Early_Peaking_Decreasing"
"MT-CO2",1,0.802308599160844,0.535318532271122,35,4,1.7905947617102,8,-2.5658406003135,1.48014763344142,-0.451826176315044,-1.93197380975646,-0.0997518498868033,"Early_Peaking_Decreasing"
"HLA-DQA1",1,0.78708421974647,0.517648489043684,36,4,3.66836612038072,6,-0.406952071765473,1.55273239146032,-0.404902825938505,-1.95763521739883,-0.0877238932944728,"Early_Peaking_Decreasing"
"RPL36",1,0.780457522602755,0.414456370543364,37,3,1.53763050049297,6,-2.55973198367924,1.23536271691985,-0.208848147405989,-1.44421086432584,-0.0429550602563091,"Early_Peaking_Decreasing"
"ACTA2",1,0.767779636310786,0.503284602875445,38,3,3.63149071773158,6,-0.392969244876539,1.35701672935917,-0.389940148048132,-1.7469568774073,-0.0891210801262882,"Early_Peaking_Decreasing"
"RPS28",1,0.759818574597025,0.388858990109589,39,3,1.69957583963513,6,-2.51860123759063,1.21815144486226,-0.068669798445893,-1.28682124330816,-0.0344541089812313,"Early_Peaking_Decreasing"
"ACTB",1,0.752357764221352,0.403621160993099,40,3,1.79446330543248,6,-2.66292173449353,1.36424395341139,-0.208601987452052,-1.57284594086344,-0.0526706146569459,"Early_Peaking_Decreasing"
"SMIM22",1,0.740889524457606,0.475077352703708,41,1,3.68417384252293,6,-0.487122158566955,1.56939019547402,-0.464238927992425,-2.03362912346644,-0.108143085148018,"Early_Peaking_Decreasing"
"RPL34",1,0.715571559407713,0.376790627578965,42,3,1.43663402214969,6,-2.76374319594998,1.13613507573279,-0.185644328571861,-1.32177940430465,-0.0390953505770229,"Early_Peaking_Decreasing"
"MT-CYB",1,0.707263293147554,0.452402494838143,43,3,1.46355307134901,8,-2.80397553185984,1.31722144156529,-0.319950045665264,-1.63717148723055,-0.0752613469505592,"Early_Peaking_Decreasing"
"MT-CO3",1,0.684657620163083,0.424659788433919,44,2,1.45448857251687,8,-2.70377015120612,1.28409994780645,-0.299090376669938,-1.58319032447638,-0.067829618474451,"Early_Peaking_Decreasing"
"PLAT",1,0.662972033480803,0.418188740365785,45,1,3.7908200745181,5,-0.362505306814868,1.44073257292239,-0.36005974009721,-1.80079231301959,-0.0955484470855984,"Early_Peaking_Decreasing"
"RPL37",1,0.650580231709899,0.311471803166893,46,3,1.40653442524432,6,-3.35452018132039,0.986523963086373,-0.1586520146425,-1.14517597772887,-0.025306550555405,"Early_Peaking_Decreasing"
"RPS15",1,0.649774535618948,0.306102924023014,47,2,1.24524327843722,6,-3.12507001062723,0.97961534894821,-0.227257498952817,-1.20687284790103,-0.0298049342637966,"Early_Peaking_Decreasing"
"TMSB10",1,0.633495633057738,0.351257993843283,48,4,2.12958782702454,6,-2.40360560967744,1.05657259952174,-0.316226556426653,-1.37279915594839,-0.0514203856282211,"Early_Peaking_Decreasing"
"MT-ND4",1,0.621923515706321,0.394430447720393,49,2,1.26701038731226,8,-3.10779325019988,1.12473205035561,-0.189296157813574,-1.31402820816918,-0.0611648919977831,"Early_Peaking_Decreasing"
"MT-CO1",1,0.585142376394311,0.382269733415993,50,2,1.23772203304098,8,-2.9875959763965,1.11081909638737,-0.336830510871775,-1.44764960725914,-0.0641788060838376,"Early_Peaking_Decreasing"
"RPS27",1,0.578322545225388,0.265206597693842,51,3,1.22111333674012,6,-3.54161772112173,0.846972634753898,-0.158796821260726,-1.00576945601462,-0.0222671946880527,"Early_Peaking_Decreasing"
"ACTG1",1,0.528729636859762,0.182835653296657,52,4,1.1428792969523,6,-3.00678190677123,0.739666500119078,-0.472905175188647,-1.21257167530772,-0.0198997109383616,"Early_Peaking_Decreasing"
"MT-ND1",1,0.41596199943839,0.231291534062844,53,7,1.09328975702463,8,-3.12784360917779,0.761751573991644,-0.122928917981905,-0.884680491973549,-0.0330543479445397,"Overall_Decreasing"
"MMADHC",2,0.991123718292752,0.730679024582868,1,20,1.2779624297675,6,-1.37511860501865,-1.06175077210086,1.10875289723842,2.17050366933929,0.149493392740656,"Late_Increasing"
"PRDX2",2,0.988588529806881,0.72119222674023,2,20,1.30482658196006,6,-2.02654775781737,-0.883310055782795,1.12519417015401,2.00850422593681,0.142553877396479,"Late_Increasing"
"ATP5PO",2,0.988495963358668,0.732703550763307,3,20,1.1835121646781,6,-1.80444304720927,-1.06435582515443,0.988522816429535,2.05287864158396,0.14182614985626,"Late_Increasing"
"TMEM147",2,0.985935683774799,0.724118242632995,4,20,1.44864926825383,6,-1.51604448564756,-1.02217659289157,1.22121635858959,2.24339295148116,0.147226893967862,"Late_Increasing"
"PYM1",2,0.984905070189593,0.718751850567248,5,20,1.22149189657767,6,-1.68107617755355,-1.01080016901727,1.05874957494717,2.06954974396444,0.146378877813905,"Late_Increasing"
"PIGP",2,0.984848793145565,0.725759755157842,6,20,1.10122683637494,6,-1.63662411450034,-1.04057504354865,0.934183356085625,1.97475839963428,0.143637203513619,"Late_Increasing"
"KDELR1",2,0.983617407619931,0.719372407906079,7,17,1.1742397026558,6,-1.84430056045395,-1.01720600102496,1.01332080943778,2.03052681046274,0.146345639119773,"Late_Increasing"
"VDAC2",2,0.983167695674556,0.720741041012959,8,20,1.25843861318415,6,-1.81858538573621,-0.996126752468101,0.979933898443755,1.97606065091186,0.139175040202556,"Late_Increasing"
"TMEM167A",2,0.982671999930275,0.726750325580482,9,20,1.4780528200122,5,-1.45398863529386,-1.19019287815969,1.20248810231358,2.39268098047327,0.153607225890157,"Late_Increasing"
"ERH",2,0.982584175290392,0.723478324369629,10,19,1.46688094272375,6,-1.4903769359164,-1.0665886678348,1.17182904081424,2.23841770864904,0.145778494329319,"Late_Increasing"
"PSMD4",2,0.982295510486645,0.712453470392347,11,19,1.22015768881622,6,-2.02741868523419,-0.889622244981195,1.05290689628632,1.94252914126752,0.141558604327279,"Late_Increasing"
"LSR",2,0.982222224978477,0.719829291397525,12,20,1.43487116246886,5,-1.51883133622185,-1.01831537888435,1.15726519694444,2.17558057582879,0.149782581474812,"Late_Increasing"
"ETFB",2,0.98191326163743,0.724517490732241,13,20,1.15553550478078,6,-1.53978195692179,-1.17837370077428,0.962214965208334,2.14058866598262,0.14961965098376,"Late_Increasing"
"TRIR",2,0.981032524964986,0.723704870756369,14,20,1.02640963815396,6,-1.71426416363966,-1.13660781107379,0.895213492996498,2.03182130407028,0.146850645362932,"Late_Increasing"
"MTCH1",2,0.980878370820001,0.716555771977368,15,19,1.28260449011629,6,-1.79400547283861,-1.0422240599657,1.15703312293823,2.19925718290393,0.146186783818523,"Late_Increasing"
