"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment","Enrichment_Group"
"GO:0034250","positive regulation of amide metabolic process",14,-0.471306604244748,-1.29277711747485,0.184663536776213,0.497501879463726,0.413539722630722,878,"tags=43%, list=15%, signal=37%","8301/1454/836/1942/7124/54103","TotalCell"
"GO:0007623","circadian rhythm",86,-0.29376883849378,-1.19236815537503,0.184782608695652,0.497501879463726,0.413539722630722,946,"tags=23%, list=16%, signal=20%","3399/8841/2146/1454/10499/1958/4915/687/1364/7071/4783/5971/3397/6095/23596/5728/7124/79365/3400/6478","TotalCell"
"GO:0031669","cellular response to nutrient levels",127,-0.276641601849851,-1.1832818402148,0.18445475638051,0.497501879463726,0.413539722630722,1247,"tags=30%, list=21%, signal=24%","6721/51304/1026/51256/55004/11152/7532/253260/91689/8473/27327/440/3920/64223/55284/26608/207/6009/5595/5058/7071/56270/84557/6591/6715/80149/5292/8428/8739/51422/6422/5366/11170/857/7378/3934/2621/4023","TotalCell"
"GO:0048872","homeostasis of number of cells",143,-0.274288608637413,-1.19559387172501,0.185142857142857,0.498112928108608,0.414047646113123,895,"tags=20%, list=15%, signal=17%","207/2146/55012/301/54892/9289/2539/29766/64332/9093/10467/8517/972/836/3988/567/55972/10867/53833/5366/4067/5879/9935/11167/27040/64127/161882/6700","TotalCell"
"GO:0070129","regulation of mitochondrial translation",13,0.416845071665591,1.29843708405079,0.186111111111111,0.500357713828937,0.415913584921537,995,"tags=38%, list=17%, signal=32%","55005/84881/54931/6472/22868","BRCA1_tumour"
"GO:0097300","programmed necrotic cell death",25,-0.399796056190509,-1.27598259022789,0.18705035971223,0.50143988109369,0.416813117504184,1221,"tags=44%, list=21%, signal=35%","8473/4814/8996/427/57162/10105/291/26471/8531/7124/857","TotalCell"
"GO:0048009","insulin-like growth factor receptor signaling pathway",22,-0.412476382052849,-1.27284111191481,0.18695652173913,0.50143988109369,0.416813117504184,895,"tags=41%, list=15%, signal=35%","207/3480/8660/5595/5604/5605/3487/1001/3485","TotalCell"
"GO:0045601","regulation of endothelial cell differentiation",16,-0.442739097947043,-1.26774943876134,0.18693009118541,0.50143988109369,0.416813117504184,1328,"tags=44%, list=23%, signal=34%","7422/340481/1499/50848/634/81575/7124","TotalCell"
"GO:0044057","regulation of system process",124,-0.277863726672981,-1.18430102779111,0.186697782963827,0.50143988109369,0.416813117504184,1308,"tags=32%, list=22%, signal=26%","4204/1605/2332/1075/808/157378/340481/8996/10659/2316/4205/4883/8877/6696/2539/114907/3728/10458/6446/5058/5604/2017/26022/1889/133/80149/1906/481/1890/1907/10398/1839/7168/183/5728/7124/2260/857/6781/2621","TotalCell"
"GO:0006821","chloride transport",22,0.356877892880128,1.28523389482602,0.189102564102564,0.502373675258116,0.417589317546216,221,"tags=27%, list=4%, signal=26%","266675/147798/57348/5348/760/9022","BRCA1_tumour"
"GO:0048308","organelle inheritance",10,-0.513857052809935,-1.28484690855399,0.188888888888889,0.502373675258116,0.417589317546216,2334,"tags=90%, list=40%, signal=54%","11235/7443/5594/7534/5347/1263/5595/5604/5605","TotalCell"
"GO:0048313","Golgi inheritance",10,-0.513857052809935,-1.28484690855399,0.188888888888889,0.502373675258116,0.417589317546216,2334,"tags=90%, list=40%, signal=54%","11235/7443/5594/7534/5347/1263/5595/5604/5605","TotalCell"
"GO:0060441","epithelial tube branching involved in lung morphogenesis",10,-0.513594337649639,-1.28419001621459,0.188888888888889,0.502373675258116,0.417589317546216,1289,"tags=50%, list=22%, signal=39%","1605/6662/1499/1512/7124","TotalCell"
