"Temporal_Cluster","Biological_Theme","Supporting_Databases","Number_of_Databases","Number_of_Pathways","Best_Adjusted_P","Representative_Pathway"
"1","Immune / antigen-presentation / inflammatory processes","GO_BP; Hallmark; Reactome",3,89,1.14656592710083e-08,"antigen processing and presentation of exogenous peptide antigen"
"1","Other biological processes","GO_BP; Hallmark; Reactome",3,125,3.45540217730682e-08,"proton transmembrane transport"
"1","Protein synthesis / translational processes","GO_BP; Reactome",2,28,9.02841161096288e-12,"Translation"
"1","Mitochondrial / oxidative energy metabolism","GO_BP; Reactome",2,17,7.3703818045662e-09,"aerobic electron transport chain"
"1","Metabolic processes","GO_BP; Reactome",2,12,1.9287385522149e-05,"Selenoamino acid metabolism"
"1","Cell adhesion / extracellular interactions","GO_BP; Reactome",2,11,0.000116091865952296,"positive regulation of leukocyte cell-cell adhesion"
"1","Cellular stress / hypoxia / redox","GO_BP; Reactome",2,2,0.00068960459324658,"Cellular response to starvation"
"1","DNA damage / repair / checkpoint","GO_BP; Reactome",2,7,0.0296569572730618,"signal transduction by p53 class mediator"
"1","Growth / MYC / mTOR signaling","Reactome",1,1,0.00255114952409621,"Infection with Mycobacterium tuberculosis"
"1","Cell death / apoptosis","Reactome",1,1,0.0205575485313859,"Regulation of necroptotic cell death"
"1","Cell cycle / proliferation","GO_BP",1,1,0.0326619519783973,"regulation of synaptic vesicle recycling"
"2","Other biological processes","GO_BP; Hallmark; Reactome",3,247,5.84153168463983e-30,"Regulation of expression of SLITs and ROBOs"
"2","Protein synthesis / translational processes","GO_BP; Reactome",2,40,1.33970958161365e-39,"Translation"
"2","Metabolic processes","GO_BP; Reactome",2,15,7.74068890434269e-25,"Response of EIF2AK4 (GCN2) to amino acid deficiency"
"2","Growth / MYC / mTOR signaling","Hallmark; Reactome",2,4,2.69543564900536e-10,"HALLMARK_MYC_TARGETS_V1"
"2","Mitochondrial / oxidative energy metabolism","GO_BP; Reactome",2,16,3.79890271661528e-08,"oxidative phosphorylation"
"2","Cellular stress / hypoxia / redox","Reactome",1,6,6.91499186366304e-23,"Cellular response to starvation"
"2","Immune / antigen-presentation / inflammatory processes","Reactome",1,20,1.51007297670974e-09,"SPOP-mediated proteasomal degradation of PD-L1(CD274)"
"2","Cell cycle / proliferation","Reactome",1,33,1.9970522384866e-08,"Ubiquitin-dependent degradation of Cyclin D"
"2","DNA damage / repair / checkpoint","Reactome",1,15,8.28523960293269e-07,"Stabilization of p53"
"2","Cell death / apoptosis","Reactome",1,4,2.09738054505191e-06,"Regulation of Apoptosis"
"2","Cell adhesion / extracellular interactions","Reactome",1,4,4.13008348102854e-05,"Regulation of Expression and Function of Type I Classical Cadherins"
