"Database","Temporal_Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"Reactome","2","R-HSA-72187","mRNA 3'-end processing","19/373","151/10039",3.02918719127584e-06,2.65582225839765e-05,1.74261686646223e-05,"YBX1/MAGOH/SF3B6/RPS27A/PRPF40A/POLR2H/NCBP2/FYTTD1/SF3B5/PUF60/SF3B2/RBM17/PCBP2/HNRNPA1/SRSF9/UBB/DDX39A/UBA52/POLR2F",19
"Reactome","2","R-HSA-176814","Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins","12/373","64/10039",3.32005359492039e-06,2.86639741668318e-05,1.88078568454711e-05,"PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/ANAPC16/PSMB5/PSMA3/UBB/UBA52/PSMC4",12
"Reactome","2","R-HSA-5619084","ABC transporter disorders","12/373","64/10039",3.32005359492039e-06,2.86639741668318e-05,1.88078568454711e-05,"PSMB2/PSMA5/PSMB4/ERLEC1/RPS27A/PSMD2/PSMB1/PSMB5/PSMA3/UBB/UBA52/PSMC4",12
"Reactome","2","R-HSA-6807070","PTEN Regulation","17/373","125/10039",3.45974758996777e-06,2.96437463958602e-05,1.94507340584312e-05,"PSMB2/PSMA5/LAMTOR5/PSMB4/LAMTOR2/RPS27A/PSMD2/CSNK2B/HDAC2/PSMB1/MAF1/RRAGA/PSMB5/PSMA3/UBB/UBA52/PSMC4",17
"Reactome","2","R-HSA-162909","Host Interactions of HIV factors","16/373","113/10039",3.93690799230958e-06,3.34785183406175e-05,2.19669183583558e-05,"PSMB2/PSMA5/PSMB4/RPS27A/SEC13/AP2M1/PSMD2/HMGA1/PSMB1/PSIP1/PSMB5/PSMA3/UBB/UBA52/PSMC4/RBX1",16
"Reactome","2","R-HSA-9679506","SARS-CoV Infections","34/373","395/10039",4.02251899788445e-06,3.39512610940844e-05,2.22771083543483e-05,"RPS7/YWHAQ/SDC1/OST4/RPS27A/SUMO1/SEC13/AP2M1/RPS23/RPS18/RPS10/EEF1A1/HDAC2/GJA1/RPS6/TMEM258/FXYD6/RPS25/RPS24/PCBP2/HNRNPA1/RPS26/SAP18/MAP1LC3B/UBB/RPN2/UBA52/FXYD3/RPS16/RPS11/RPS9/RPS5/COMT/RBX1",34
"Reactome","2","R-HSA-9764265","Regulation of CDH1 Expression and Function","18/373","142/10039",4.96632496392468e-06,4.13008348102854e-05,2.70995286344187e-05,"PSMB2/PSMA5/PSMB4/OST4/RPS27A/PSMD2/CSNK2B/HDAC2/PSMB1/MYC/TMEM258/PSMB5/PSMA3/UBB/SEC11C/RPN2/UBA52/PSMC4",18
"Reactome","2","R-HSA-9764274","Regulation of Expression and Function of Type I Classical Cadherins","18/373","142/10039",4.96632496392468e-06,4.13008348102854e-05,2.70995286344187e-05,"PSMB2/PSMA5/PSMB4/OST4/RPS27A/PSMD2/CSNK2B/HDAC2/PSMB1/MYC/TMEM258/PSMB5/PSMA3/UBB/SEC11C/RPN2/UBA52/PSMC4",18
"Reactome","2","R-HSA-4086400","PCP/CE pathway","13/373","78/10039",5.14136400505354e-06,4.2444399195004e-05,2.78498780143123e-05,"PSMB2/PSMA5/PSMB4/RPS27A/AP2M1/PSMD2/PSMB1/PSMB5/PSMA3/PFN1/UBB/UBA52/PSMC4",13
"Reactome","2","R-HSA-351202","Metabolism of polyamines","10/373","46/10039",5.47528045081168e-06,4.48734941294784e-05,2.9443727824731e-05,"PSMB2/PSMA5/PSMB4/ODC1/PSMD2/PSMB1/PSMB5/PSMA3/NQO1/PSMC4",10
"Reactome","2","R-HSA-69052","Switching of origins to a post-replicative state","13/373","79/10039",5.95036442803217e-06,4.8416274590679e-05,3.17683220125913e-05,"PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/ANAPC16/PSMB5/PSMA3/UBB/UBA52/PSMC4/RBX1",13
"Reactome","2","R-HSA-176408","Regulation of APC/C activators between G1/S and early anaphase","12/373","68/10039",6.43722872397225e-06,5.20036120486615e-05,3.41221522586499e-05,"PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/ANAPC16/PSMB5/PSMA3/UBB/UBA52/PSMC4",12
"Reactome","2","R-HSA-5696394","DNA Damage Recognition in GG-NER","9/373","38/10039",7.6748383391452e-06,6.15620011459094e-05,4.03938859955011e-05,"PARP1/RPS27A/ACTL6A/RAD23B/UBB/RAD23A/UBA52/TFPT/RBX1",9
"Reactome","2","R-HSA-5632684","Hedgehog 'on' state","12/373","70/10039",8.79478559549526e-06,7.00486092148249e-05,4.59623709771991e-05,"PSMB2/PSMA5/PSMB4/RPS27A/PSMD2/PSMB1/PSMB5/PSMA3/UBB/UBA52/PSMC4/RBX1",12
