"Database","Temporal_Cluster","ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","Biological_Theme"
"GO_BP","1","GO:0002274","myeloid leukocyte activation","2/52","239/15373",0.193561861710042,0.304097188423011,0.222176269935095,"CD74/CLU",2,"Other biological processes"
"GO_BP","1","GO:0002790","peptide secretion","2/52","239/15373",0.193561861710042,0.304097188423011,0.222176269935095,"CD74/HLA-DRB1",2,"Other biological processes"
"GO_BP","1","GO:0001667","ameboidal-type cell migration","2/52","240/15373",0.194789533771354,0.304481474540808,0.222457032992072,"TIMP1/ACTA2",2,"Cell adhesion / extracellular interactions"
"GO_BP","1","GO:0032731","positive regulation of interleukin-1 beta production","1/52","64/15373",0.195308840577163,0.304481474540808,0.222457032992072,"IFI16",1,"Other biological processes"
"GO_BP","1","GO:0045058","T cell selection","1/52","64/15373",0.195308840577163,0.304481474540808,0.222457032992072,"CD74",1,"Immune / antigen-presentation / inflammatory processes"
"GO_BP","1","GO:0045806","negative regulation of endocytosis","1/52","64/15373",0.195308840577163,0.304481474540808,0.222457032992072,"B2M",1,"Other biological processes"
"GO_BP","1","GO:0051289","protein homotetramerization","1/52","64/15373",0.195308840577163,0.304481474540808,0.222457032992072,"B2M",1,"Other biological processes"
"GO_BP","1","GO:0080164","regulation of nitric oxide metabolic process","1/52","64/15373",0.195308840577163,0.304481474540808,0.222457032992072,"CLU",1,"Metabolic processes"
"GO_BP","1","GO:0030193","regulation of blood coagulation","1/52","65/15373",0.198042130817544,0.307559682087016,0.22470600041676,"PLAT",1,"Other biological processes"
"GO_BP","1","GO:0034142","toll-like receptor 4 signaling pathway","1/52","65/15373",0.198042130817544,0.307559682087016,0.22470600041676,"LTF",1,"Other biological processes"
"GO_BP","1","GO:0048857","neural nucleus development","1/52","65/15373",0.198042130817544,0.307559682087016,0.22470600041676,"ACTB",1,"Other biological processes"
"GO_BP","1","GO:0030888","regulation of B cell proliferation","1/52","66/15373",0.200766314851871,0.310085298840664,0.226551239803948,"CD74",1,"Other biological processes"
"GO_BP","1","GO:0061045","negative regulation of wound healing","1/52","66/15373",0.200766314851871,0.310085298840664,0.226551239803948,"PLAT",1,"Other biological processes"
"GO_BP","1","GO:0061462","protein localization to lysosome","1/52","66/15373",0.200766314851871,0.310085298840664,0.226551239803948,"CLU",1,"Other biological processes"
"GO_BP","1","GO:0072666","establishment of protein localization to vacuole","1/52","66/15373",0.200766314851871,0.310085298840664,0.226551239803948,"CLU",1,"Other biological processes"
"GO_BP","1","GO:0015850","organic hydroxy compound transport","2/52","245/15373",0.200943433788194,0.310085298840664,0.226551239803948,"CLU/ACTB",2,"Other biological processes"
"GO_BP","1","GO:0050708","regulation of protein secretion","2/52","247/15373",0.203411864407732,0.31162897943232,0.227679067383032,"HLA-DRB1/SAA1",2,"Other biological processes"
