"Gene","Pseudotime_Bin","Z_Score","Cluster"
"VCAN","Bin_13",0.395495880852239,2
"VCAN","Bin_14",0.451694011609663,2
"VCAN","Bin_15",0.151446413576774,2
"VCAN","Bin_16",0.11725499383654,2
"VCAN","Bin_17",0.774051031516684,2
"VCAN","Bin_18",1.23049313268838,2
"VCAN","Bin_19",1.55809784986701,2
"VCAN","Bin_20",1.20833030940707,2
"HOOK2","Bin_1",-0.889517482643491,2
"HOOK2","Bin_2",-1.21421864986488,2
"HOOK2","Bin_3",-1.29301873528037,2
"HOOK2","Bin_4",-1.53126241857134,2
"HOOK2","Bin_5",-1.7453107406044,2
"HOOK2","Bin_6",1.07187612975962,2
"HOOK2","Bin_7",1.22842470789733,2
"HOOK2","Bin_8",-1.5484680688031,2
"HOOK2","Bin_9",-0.296345855692309,2
"HOOK2","Bin_10",0.112785393914474,2
"HOOK2","Bin_11",0.246407094958728,2
"HOOK2","Bin_12",0.339475592761475,2
"HOOK2","Bin_13",0.216106536368033,2
"HOOK2","Bin_14",0.521705806886984,2
"HOOK2","Bin_15",0.575356090617584,2
"HOOK2","Bin_16",0.716497355012201,2
"HOOK2","Bin_17",1.10340641639383,2
"HOOK2","Bin_18",0.99663383931533,2
"HOOK2","Bin_19",0.701192110241982,2
"HOOK2","Bin_20",0.688274877332324,2
"CD63","Bin_1",-0.197144190957735,2
"CD63","Bin_2",-0.434150382661683,2
"CD63","Bin_3",-0.463302028152283,2
"CD63","Bin_4",-1.40541112197977,2
"CD63","Bin_5",-1.9901522073618,2
"CD63","Bin_6",-2.14623560673736,2
"CD63","Bin_7",-0.953148213596608,2
"CD63","Bin_8",-0.592376074726369,2
"CD63","Bin_9",0.158526393535079,2
"CD63","Bin_10",0.434360871010583,2
"CD63","Bin_11",0.522322249372538,2
"CD63","Bin_12",0.42704980141989,2
"CD63","Bin_13",0.521931926290049,2
"CD63","Bin_14",0.533047867023354,2
"CD63","Bin_15",0.650241607813214,2
"CD63","Bin_16",0.558138889551563,2
"CD63","Bin_17",1.07235181114636,2
"CD63","Bin_18",1.04460354031186,2
"CD63","Bin_19",1.09061068635731,2
"CD63","Bin_20",1.1687341823418,2
"MT-ND3","Bin_1",1.32732411389189,1
"MT-ND3","Bin_2",1.79956420715281,1
"MT-ND3","Bin_3",1.85613139142963,1
"MT-ND3","Bin_4",1.72180913194977,1
"MT-ND3","Bin_5",0.149095259544444,1
"MT-ND3","Bin_6",0.555271251190615,1
"MT-ND3","Bin_7",0.562082151361775,1
"MT-ND3","Bin_8",-1.84444503607673,1
"MT-ND3","Bin_9",-0.533752494893367,1
"MT-ND3","Bin_10",-0.2713774772134,1
