"Cluster","Bin","Centroid_Z","Bin_Number","Pseudotime_Bin_Center"
1,"Bin_1",1.22002059509706,1,0.649550283067647
1,"Bin_2",1.68883807307409,2,1.94865084920294
1,"Bin_3",1.75009266451461,3,3.24775141533823
1,"Bin_4",1.46364792657092,4,4.54685198147353
1,"Bin_5",0.16964603649635,5,5.84595254760882
1,"Bin_6",-0.735410156213364,6,7.14505311374411
1,"Bin_7",-0.437332023788252,7,8.4441536798794
1,"Bin_8",-0.940333502953325,8,9.7432542460147
1,"Bin_9",-0.388823739605597,9,11.04235481215
1,"Bin_10",-0.287507172250423,10,12.3414553782853
1,"Bin_11",-0.256142599529103,11,13.6405559444206
1,"Bin_12",-0.306261283199426,12,14.9396565105559
1,"Bin_13",-0.309824001676354,13,16.2387570766912
1,"Bin_14",-0.308186681683714,14,17.5378576428265
1,"Bin_15",-0.357706760894464,15,18.8369582089617
1,"Bin_16",-0.375149745740267,16,20.136058775097
1,"Bin_17",-0.467418864924272,17,21.4351593412323
1,"Bin_18",-0.370446163304879,18,22.7342599073676
1,"Bin_19",-0.380553037646148,19,24.0333604735029
1,"Bin_20",-0.37114956234344,20,25.3324610396382
2,"Bin_1",-0.67140514028688,1,0.649550283067647
2,"Bin_2",-1.00436017193078,2,1.94865084920294
2,"Bin_3",-1.11644590711601,3,3.24775141533823
2,"Bin_4",-1.00160061312389,4,4.54685198147353
2,"Bin_5",-1.23983365649729,5,5.84595254760882
2,"Bin_6",-1.48479263671477,6,7.14505311374411
2,"Bin_7",-0.953975236397677,7,8.4441536798794
2,"Bin_8",-0.679591723209021,8,9.7432542460147
2,"Bin_9",0.389341551037683,9,11.04235481215
2,"Bin_10",0.666986035343782,10,12.3414553782853
2,"Bin_11",0.656094494421916,11,13.6405559444206
2,"Bin_12",0.479980397752563,12,14.9396565105559
2,"Bin_13",0.468908118830576,13,16.2387570766912
2,"Bin_14",0.411703202533497,14,17.5378576428265
2,"Bin_15",0.491209672294464,15,18.8369582089617
2,"Bin_16",0.546869849000632,16,20.136058775097
2,"Bin_17",0.8565841821762,17,21.4351593412323
2,"Bin_18",0.930712947296435,18,22.7342599073676
2,"Bin_19",1.13303752245986,19,24.0333604735029
2,"Bin_20",1.1205771121287,20,25.3324610396382
