"Gene","Spearman_rho","p_value","FDR","Absolute_Spearman_rho","Direction","Stage16B_Strong_Gene"
"HACD4",0.045441404898994,0.000191117872973544,0.000432376176189099,0.045441404898994,"Increasing",FALSE
"TIMM22",0.0454400588191755,0.000191201807758343,0.000432520785685942,0.0454400588191755,"Increasing",FALSE
"FAM98C",0.0454366511292331,0.000191414449064982,0.000432956483597893,0.0454366511292331,"Increasing",FALSE
"COG8.1",0.0454362769786943,0.00019143780975122,0.000432964005099306,0.0454362769786943,"Increasing",FALSE
"ZC3HAV1L",0.0454263254224943,0.00019206013510507,0.000434326027586915,0.0454263254224943,"Increasing",FALSE
"TCL1A",-0.0454184520676432,0.000192553845446696,0.000435396944658689,0.0454184520676432,"Decreasing",FALSE
"OGG1",0.0454180979136672,0.000192576081195209,0.00043540166505843,0.0454180979136672,"Increasing",FALSE
"WDR78",0.0454132764476973,0.000192879039633586,0.00043604101333631,0.0454132764476973,"Increasing",FALSE
"SH2D1A",-0.04540271100438,0.000193544489319308,0.000437499624915297,0.04540271100438,"Decreasing",FALSE
"LINC02188",0.045398612446885,0.000193803211433392,0.000438038636029244,0.045398612446885,"Increasing",FALSE
"C19orf73",0.0453965247213763,0.000193935124325904,0.000438290947153607,0.0453965247213763,"Increasing",FALSE
"AC126118.1",0.0453895567101223,0.000194376008848515,0.000439241404498213,0.0453895567101223,"Increasing",FALSE
"CEP295",0.0453830331284841,0.000194789626451797,0.000440130053076467,0.0453830331284841,"Increasing",FALSE
"CAMK2D",-0.0453826183804769,0.000194815950844251,0.000440143512571277,0.0453826183804769,"Decreasing",FALSE
"CBLN3",-0.0453801777314918,0.000194970928531118,0.000440447602504439,0.0453801777314918,"Decreasing",FALSE
"CAPRIN1",-0.0453706240743269,0.00019557868671014,0.000441774372301258,0.0453706240743269,"Decreasing",FALSE
"LINC01785",0.0453527666060948,0.000196719469143801,0.00044430473747884,0.0453527666060948,"Increasing",FALSE
"AC004233.3",-0.0453508613184608,0.000196841552328589,0.000444534010431687,0.0453508613184608,"Decreasing",FALSE
"SCARB1",0.045349771301548,0.000196911428240707,0.000444645346319924,0.045349771301548,"Increasing",FALSE
"ARC",0.0453437292632647,0.000197299177953041,0.000445474374210136,0.0453437292632647,"Increasing",TRUE
"MAPK1",0.0453380422259491,0.000197664800553333,0.000446253274128451,0.0453380422259491,"Increasing",FALSE
"ITPR2",0.0453326506163039,0.000198012017610998,0.000446964514138078,0.0453326506163039,"Increasing",FALSE
"DTWD1",0.0453325080614099,0.000198021205847199,0.000446964514138078,0.0453325080614099,"Increasing",FALSE
