"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","DEG_direction","delta_pct"
0,3.24627947258689,0.229,0.017,0,"GPX8","Higher_in_BRCA1_tumour",0.212
0,3.19675553154526,0.129,0.008,0,"KCNC3","Higher_in_BRCA1_tumour",0.121
5.73116149175846e-322,3.19615774094257,0.138,0.011,1.42505330492574e-317,"ARL9","Higher_in_BRCA1_tumour",0.127
0,3.18039308176751,0.249,0.019,0,"PLTP","Higher_in_BRCA1_tumour",0.23
0,3.17586665848685,0.512,0.044,0,"SELENBP1","Higher_in_BRCA1_tumour",0.468
0,3.16380553388541,0.418,0.035,0,"NES","Higher_in_BRCA1_tumour",0.383
0,3.15283564304991,0.385,0.031,0,"TMC4","Higher_in_BRCA1_tumour",0.354
0,3.14921551427936,0.283,0.019,0,"EXPH5","Higher_in_BRCA1_tumour",0.264
0,3.07275733503255,0.157,0.013,0,"NRN1","Higher_in_BRCA1_tumour",0.144
8.50186487177203e-228,3.07185784037222,0.102,0.009,2.11398870036612e-223,"EPB41L2","Higher_in_BRCA1_tumour",0.093
5.92878775009496e-323,3.0399321470144,0.136,0.01,1.47419307406111e-318,"PLEKHG4B","Higher_in_BRCA1_tumour",0.126
0,2.99922956750893,0.644,0.071,0,"SIX1","Higher_in_BRCA1_tumour",0.573
0,2.99653820404611,0.153,0.011,0,"ZNF708","Higher_in_BRCA1_tumour",0.142
0,2.98372062430679,0.841,0.166,0,"TCTEX1D2","Higher_in_BRCA1_tumour",0.675
0,2.96064569238133,0.179,0.014,0,"AC011247.1","Higher_in_BRCA1_tumour",0.165
0,2.94464998059201,0.622,0.071,0,"HEXIM1","Higher_in_BRCA1_tumour",0.551
1.74553012708734e-265,2.92153191206109,0.111,0.008,4.34026066100266e-261,"HOXA9","Higher_in_BRCA1_tumour",0.103
0,2.90888037985415,0.867,0.253,0,"TTYH1","Higher_in_BRCA1_tumour",0.614
0,2.89303506107615,0.515,0.056,0,"LRRC59","Higher_in_BRCA1_tumour",0.459
2.73812352439364e-256,2.89058724921355,0.117,0.011,6.8083441434048e-252,"MAP9","Higher_in_BRCA1_tumour",0.106
2.7850709969445e-293,2.81911732729785,0.128,0.01,6.92507903390251e-289,"ACSL4","Higher_in_BRCA1_tumour",0.118
0,2.80234527991588,0.219,0.018,0,"THBS3","Higher_in_BRCA1_tumour",0.201
