"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","DEG_direction","delta_pct"
0,-4.8189618071323,0.014,0.294,0,"VGLL1","Higher_in_TotalCell",-0.28
0,-4.7985368522258,0.019,0.709,0,"FDCSP","Higher_in_TotalCell",-0.69
1.87784675647575e-108,-4.79264953475565,0.008,0.103,4.66926595997696e-104,"MANEAL","Higher_in_TotalCell",-0.095
6.01573657862097e-290,-4.78061482979745,0.015,0.241,1.4958129002741e-285,"TINCR","Higher_in_TotalCell",-0.226
1.32525998595328e-271,-4.7705501192567,0.014,0.228,3.29525895507284e-267,"GPC6","Higher_in_TotalCell",-0.214
1.48120880623206e-320,-4.70690699208925,0.04,0.293,3.68302569669601e-316,"RHCG","Higher_in_TotalCell",-0.253
0,-4.70391632094316,0.174,0.732,0,"S100A9","Higher_in_TotalCell",-0.558
0,-4.68700677644147,0.037,0.384,0,"EGLN3","Higher_in_TotalCell",-0.347
0,-4.64645358291804,0.028,0.288,0,"FRAT2","Higher_in_TotalCell",-0.26
0,-4.63671564897164,0.043,0.366,0,"NOV","Higher_in_TotalCell",-0.323
3.37330811857163e-99,-4.60963895096201,0.011,0.101,8.38773063682837e-95,"RNFT2","Higher_in_TotalCell",-0.09
6.94455564480384e-113,-4.5927374071267,0.008,0.107,1.72676376108047e-108,"CDC42EP5","Higher_in_TotalCell",-0.099
0,-4.55385467546687,0.064,0.486,0,"LCN2","Higher_in_TotalCell",-0.422
6.24321206286497e-105,-4.51719913527226,0.007,0.1,1.55237467943137e-100,"MNS1","Higher_in_TotalCell",-0.093
1.21285535557704e-115,-4.50408062039193,0.005,0.105,3.01576484164232e-111,"CCL2","Higher_in_TotalCell",-0.1
5.2648281023843e-222,-4.48371053263116,0.011,0.191,1.30909950765786e-217,"SLCO3A1","Higher_in_TotalCell",-0.18
1.59301434007619e-120,-4.46774368685057,0.01,0.117,3.96103015659945e-116,"LAT","Higher_in_TotalCell",-0.107
1.64986843932502e-313,-4.46739656478113,0.031,0.277,4.10239787438166e-309,"KCNG1","Higher_in_TotalCell",-0.246
0,-4.46322221248328,0.048,0.468,0,"CITED4","Higher_in_TotalCell",-0.42
0,-4.37770555017716,0.034,0.416,0,"SERPINE2","Higher_in_TotalCell",-0.382
1.58311159231464e-308,-4.36311193275482,0.018,0.258,3.93640697429035e-304,"A4GALT","Higher_in_TotalCell",-0.24
2.26181375216668e-317,-4.33539496973917,0.007,0.246,5.62399989476246e-313,"IDO1","Higher_in_TotalCell",-0.239
2.60721666789616e-125,-4.32807894966409,0.012,0.124,6.48284424472381e-121,"IGFBP2","Higher_in_TotalCell",-0.112
3.57320934971669e-136,-4.30638479331452,0.012,0.132,8.88478504807056e-132,"DENND2C","Higher_in_TotalCell",-0.12
1.83896690019731e-110,-4.18874713690477,0.012,0.113,4.57259119734062e-106,"GSAP","Higher_in_TotalCell",-0.101
0,-4.17649308931076,0.037,0.34,0,"SNX10","Higher_in_TotalCell",-0.303
0,-4.08284672734086,0.178,0.743,0,"CEBPD","Higher_in_TotalCell",-0.565
4.38786317840725e-223,-4.05980719039632,0.008,0.188,1.09104217931096e-218,"CALB2","Higher_in_TotalCell",-0.18
2.0836431772035e-115,-4.04626705805708,0.02,0.13,5.1809787601165e-111,"STC1","Higher_in_TotalCell",-0.11
1.152466410038e-109,-4.03535451990651,0.013,0.113,2.86560772855948e-105,"FAM174B","Higher_in_TotalCell",-0.1
1.69453004431321e-156,-3.99616060408602,0.012,0.147,4.2134489551848e-152,"FSTL1","Higher_in_TotalCell",-0.135
0,-3.9181387717277,0.116,0.825,0,"SAA1","Higher_in_TotalCell",-0.709
0,-3.90807137109724,0.044,0.302,0,"CP","Higher_in_TotalCell",-0.258
2.32529580340394e-165,-3.88343949741904,0.024,0.172,5.78184801516389e-161,"C16orf74","Higher_in_TotalCell",-0.148
7.04769473329125e-99,-3.82927341235103,0.016,0.11,1.75240929543287e-94,"DANT1","Higher_in_TotalCell",-0.094
6.9541591862257e-182,-3.82913848908185,0.023,0.183,1.72915168165502e-177,"TMEM158","Higher_in_TotalCell",-0.16
0,-3.82547182854855,0.063,0.333,0,"SAP30","Higher_in_TotalCell",-0.27
2.93889746462563e-246,-3.79863763399592,0.034,0.242,7.30756854579162e-242,"FAM107B","Higher_in_TotalCell",-0.208
0,-3.78709004275113,0.059,0.349,0,"STC2","Higher_in_TotalCell",-0.29
6.48575179221786e-121,-3.78319234536468,0.019,0.132,1.61268218313497e-116,"IGFL2-AS1","Higher_in_TotalCell",-0.113
0,-3.77699434869425,0.407,0.773,0,"BTG2","Higher_in_TotalCell",-0.366
1.84646972941733e-111,-3.7714789182542,0.015,0.118,4.59124698219618e-107,"ITPRIP","Higher_in_TotalCell",-0.103
6.31027975376309e-88,-3.75474592267677,0.019,0.106,1.56905106077319e-83,"CKMT1B","Higher_in_TotalCell",-0.087
0,-3.7530475708828,0.263,0.778,0,"BRI3","Higher_in_TotalCell",-0.515
2.78354547438041e-162,-3.72361074854795,0.016,0.159,6.9212858220469e-158,"ALDH2","Higher_in_TotalCell",-0.143
0,-3.71046990975849,0.07,0.375,0,"PHLDA3","Higher_in_TotalCell",-0.305
8.6045561216163e-225,-3.6880897474417,0.033,0.226,2.13952287963989e-220,"F8A1","Higher_in_TotalCell",-0.193
