cluster,Manual_CellType
0,Epithelial_cells
1,NK_cell-T_cells
2,Epithelial_cells
3,Macrophage
4,iPS_cells
5,NK_cell-T_cells
6,NK_cell-T_cells
7,Epithelial_cells
8,B_cell
9,Epithelial_cells
10,B_cell
11,Epithelial_cells
12,Fibroblasts-Tissue_stem_cells
13,Epithelial_cells
14,DC-Monocyt
15,Endothelial_cells
16,Fibroblasts-Tissue_stem_cells
17,Pre-B_cell_CD34-
18,Endothelial_cells
19,Epithelial_cells
20,Fibroblasts-Tissue_stem_cells
21,CMP
